,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,6.9,9.1,4.8,2.4,4.2,北北西,7.2,北西,北西,,,
2,0.0,0.0,0.0,9.4,11.4,7.6,2.6,4.2,西北西,8.2,西北西,西北西,,,
3,0.0,0.0,0.0,10.3,12.3,9.1,3.0,5.1,西北西,8.7,西,北西,,,
4,0.0,0.0,0.0,10.9,12.5,9.0,3.5,5.9,北北西,10.3,北西,北,,,
5,0.0,0.0,0.0,11.5,14.0,9.4,4.8,7.0,北北東,9.3,東,北北東,,,
6,2.0,1.0,0.5,13.2,17.1,10.9,5.0,8.3,南東,10.3,東南東,東南東,,,
7,18.0,16.0,13.0,18.5,20.0,14.9,9.4,16.9,南南西,21.6,南南西,南南西,,,
8,1.5,1.0,0.5,11.4,17.1,8.8,6.3,10.8,西,19.5,西,西北西,,,
9,0.0,0.0,0.0,9.6,10.9,8.5,3.0,4.8,北北西,7.7,北北西,北西,,,
10,0.0,0.0,0.0,11.1,13.0,9.5,4.2,6.8,北北東,8.7,北北東,北,,,
11,0.0,0.0,0.0,11.3,13.1,9.6,2.2,4.4,北北西,7.2,北,西北西,,,
12,0.0,0.0,0.0,8.7,10.4,7.2,4.4,7.8,西北西,14.4,西北西,西北西,,,
13,0.0,0.0,0.0,7.8,9.4,7.2,3.4,5.4,西北西,10.8,西北西,西北西,,,
14,4.5,1.5,0.5,7.6,8.8,6.3,4.3,8.7,北,11.8,北,北,,,
15,0.0,0.0,0.0,7.0,8.4,6.2,3.0,4.8,北西,9.8,北西,北西,,,
16,0.0,0.0,0.0,9.1,10.8,6.3,2.8,5.2,北北東,7.2,北北東,北北東,,,
17,1.5,1.0,0.5,10.4,11.9,8.0,4.2,8.2,北,13.4,北,北,,,
18,7.0,4.0,2.5,9.6,10.7,7.9,4.6,7.7,北,12.9,北,北北西,,,
19,0.0,0.0,0.0,9.9,11.3,8.5,3.6,5.7,西北西,10.8,北北西,西北西,,,
20,0.0,0.0,0.0,9.6,11.4,8.2,4.0,6.0,西北西,10.8,西北西,北西,,,
21,0.0,0.0,0.0,9.5,11.5,7.7,4.0,7.5,北北東,10.8,北東,北東,,,
22,55.5,26.0,9.0,12.9,16.8,8.7,5.0,10.0,南東,12.3,南東,南東,,,
23,7.0,28.0,3.5,15.1,16.6,13.8,3.7,7.3,北北東,8.7,北北東,北,,,
24,0.0,0.0,0.0,14.5,16.5,13.8,8.3,11.6,北東,16.5,北東,北東,,,
25,18.0,3.5,1.0,12.5,14.1,10.1,9.9,14.2,北東,18.0,北東,北東,,,
26,1.0,0.5,0.5,12.0,13.1,10.1,9.9,14.5,北東,22.6,北東,北東,,,
27,61.0,10.0,3.0,10.7,12.1,9.3,15.8,23.4,北東,29.3,北東,北東,,,
28,1.0,1.0,1.0,12.1,13.5,11.2,7.8,10.8,北,14.9,北,北,,,
29,23.5,7.5,3.0,10.1,12.1,7.3,4.2,9.3,北北東,11.8,西北西,北北東,,,
30,14.0,7.0,2.5,8.4,9.9,5.8,7.0,11.1,北北東,13.9,北東,北北東,,,
31,20.0,7.0,5.0,7.9,9.5,5.8,2.7,8.1,北北東,11.8,北西,西北西,,,
