,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,947.1,1030.2,,,,0.3,5.9,-4.4,85.0,63.0,3.5,7.5,北北西,10.0,北北西,7.0,,,,
2,946.4,1028.3,,,,3.8,7.8,0.2,88.0,67.0,3.8,6.1,西北西,9.6,西北西,4.8,,,,
3,943.7,1025.2,,,,4.6,7.7,0.7,88.0,72.0,3.9,6.3,西北西,9.6,西,2.1,,,,
4,941.9,1023.4,,,,4.0,8.2,-0.7,77.0,44.0,4.4,8.1,北,13.1,北,6.6,,,,
5,946.2,1027.9,,,,4.4,9.5,1.1,74.0,49.0,4.2,7.4,北北東,15.0,北,7.1,,,,
6,946.1,1026.7,,,,7.7,10.7,1.2,83.0,71.0,4.7,7.1,南南東,12.8,南,0.0,,,,
7,939.6,1018.5,3.0,2.0,0.5,11.7,13.6,10.2,97.0,85.0,8.1,12.8,南,22.7,南南西,0.0,,,,
8,935.7,1015.7,38.5,26.5,9.0,6.8,14.5,3.4,91.0,74.0,7.4,14.4,南西,26.0,南西,0.4,,,,
9,939.5,1020.5,,,,4.9,7.7,3.6,85.0,66.0,3.0,5.5,北西,10.2,北西,2.2,,,,
10,939.0,1020.0,,,,4.4,9.7,1.0,73.0,37.0,2.7,6.3,東北東,10.1,北東,7.1,,,,
11,936.8,1017.3,0.0,0.0,0.0,5.5,9.8,1.1,77.0,48.0,2.3,4.5,西北西,7.5,北西,1.7,,,,
12,935.1,1016.2,0.5,0.5,0.5,3.3,5.7,2.0,88.0,69.0,4.1,8.1,西北西,14.5,西北西,0.0,,,,
13,940.0,1021.9,,,,2.4,5.3,-0.6,80.0,64.0,3.9,7.0,西北西,11.9,西北西,3.9,,,,
14,940.8,1022.8,1.5,1.0,0.5,2.1,3.8,-0.1,91.0,71.0,3.0,7.8,北,12.5,北,0.0,,,,
15,943.2 ),1025.7 ),-- ),-- ),-- ),0.9 ),4.7,-1.4,79 ),64 ),3.4 ),6.1 ),北北西 ),10.7 ),北西 ),1.1 ],,,,
16,941.7,1023.6,0.0,0.0,0.0,2.6,5.5,-1.0,80.0,43.0,1.6,3.6,西南西,5.6,北東,0.0,,,,
17,937.0,1017.9,0.0,0.0,0.0,4.3,8.5,1.7,66.0,20.0,3.7,7.6,北,13.9,北,3.8,,,,
18,935.8,1016.9,0.0,0.0,0.0,3.6,6.6,0.6,86.0,50.0,3.8,6.0,西北西,10.3,北西,2.7,,,,
19,938.4,1019.8,0.0,0.0,0.0,3.3,6.0,0.0,91.0,77.0,3.6,7.5,西北西,12.0,西,0.2,,,,
20,940.6,1022.0,,,,4.0,6.4,2.5,81.0,69.0,3.9,6.7,西北西,11.3,北西,1.0,,,,
21,945.2,1027.2,,,,3.3,8.4,-0.5,74.0,26.0,3.8,7.4,北,11.1,北,7.4,,,,
22,944.0,1024.4,11.0,3.0,1.0,7.8,10.7,3.6,91.0,73.0,6.3,10.0,南,18.1,南南西,0.0,,,,
23,940.7,1019.6,25.0,11.0,4.5,11.9,15.3,9.2,96.0,74.0,4.4,12.7,南南西,20.4,南南西,4.6,,,,
24,944.1,1024.0,0.0,0.0,0.0,9.7,12.1,7.6,89.0,65.0,4.5,7.8,北東,12.7,北東,0.8,,,,
25,944.1,1024.3,19.5,6.5,1.5,8.8,12.1,5.5,92.0,64.0,3.7,13.0,北東,22.4,北東,0.0,,,,
26,940.0,1019.8,11.0,3.0,1.0,8.7,10.5,6.4,97.0,86.0,3.7,9.0,東,15.1,東北東,0.0,,,,
27,926.0,1004.5,24.0,12.0,3.5,9.2,14.2,5.8,90.0,72.0,8.4,16.3,東,28.4,東,0.9,,,,
28,932.0,1011.8,0.0,0.0,0.0,6.6,9.5,5.1,93.0,77.0,4.9,9.2,北,15.1,北北西,0.7,,,,
29,932.7,1012.9,1.5,1.0,0.5,5.5,8.5,2.9,88.0,66.0,3.3,9.0,北東,15.5,北北東,0.4,,,,
30,930.1,1010.7,0.0,0.0,0.0,3.6,6.8,2.0,90.0,68.0,4.4 ],12.2 ],北北東 ],20.5 ],北 ],3.7,,,,
31,936.2,1017.6,0.0,0.0,0.0,2.8,6.0,0.9,81.0,65.0,4.0 ],6.5 ],北北西 ],10.5 ],北北西 ],2.1,,,,
