,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-1.6,3.7,-5.2,0.6,2.0,南西,4.7,西南西,東,2.0,,
2,0.0,0.0,0.0,0.2,7.6,-3.3,0.8,2.2,西南西,5.1,南西,東,4.5,,
3,1.0,1.0,0.5,1.7,6.2,-0.8,0.5,1.9,西,4.4,南西,西南西,0.8,,
4,3.5,2.0,0.5,1.9,7.9,-1.5,0.9,2.6,南西,7.5,南西,東,3.9,,
5,0.0,0.0,0.0,-0.2,4.8,-2.9,0.9 ),2.4 ),東 ),7.7 ),北北東 ),東 ),5.8,,
6,0.0,0.0,0.0,0.6,7.4,-3.6,1.0,1.6,東北東,6.7,西北西,東北東,4.2,,
7,8.5,1.5,0.5,2.1,5.3,-1.0,0.9,1.7,北北東,6.3,北北東,北東,0.0,,
8,36.5,8.5,3.0,6.4,11.2,3.3,0.9,2.1,南東,8.6,南南西,東南東,0.0,,
9,0.0,0.0,0.0,3.2,9.4,-0.2,0.6,1.6,北西,6.8,北,東南東,5.1,,
10,0.5,0.5,0.5,2.5,8.7,-0.8,0.8,1.7,北東,4.1,東,東北東,4.0,,
11,0.0,0.0,0.0,1.4,8.9,-1.4,1.0,2.3,西南西,5.3,西南西,東北東,6.2,,
12,0.0,0.0,0.0,2.0,6.4,-1.5,0.7,2.1,北東,4.5,北北西,東,0.0,,
13,3.0,1.0,0.5,2.2,5.3,0.2,0.5,1.9,西南西,5.2,西南西,南西,1.2,,
14,0.5,0.5,0.5,2.1,7.6,-0.9,0.4,1.5,南西,4.3,西南西,東,2.6,,
15,1.5,1.0,0.5,1.2,5.0,-2.3,0.7,1.8,東,3.7,東,西,1.0,,
16,0.0,0.0,0.0,-0.2,5.4,-3.4,0.9,2.6,西南西,5.1,西南西,東,1.8,,
17,0.0,0.0,0.0,1.9,7.5,-1.9,0.9,1.9,北北西,5.7,北北西,東北東,2.4,,
18,0.0,0.0,0.0,3.3,6.4,-1.2,0.9,2.0,東,5.7,東,北,0.0,,
19,0.0,0.0,0.0,1.7,8.2,-2.6,0.9,2.5,西南西,5.7,南南西,東北東,3.8,,
20,0.0,0.0,0.0,3.2,6.2,0.1,0.6,1.8,西南西,5.7,西,東南東,0.3,,
21,0.0,0.0,0.0,1.9,7.6,-2.6,1.0,2.0,北,6.3,東,東,6.5,,
22,0.0,0.0,0.0,2.4,9.9,-3.0,0.9,2.4,南西,6.4,西,北東,2.8,,
23,29.5,4.0,1.0,5.0,6.9,3.3,0.7,1.5,北北東,5.4,北,北東,0.0,,
24,0.0,0.0,0.0,5.7,11.6,1.3,1.0,1.7,北,4.4,南,東北東,5.2,,
25,0.0,0.0,0.0,4.5,10.1,0.1,1.0,2.0,南西,5.3,北,東北東,3.2,,
26,1.0,1.0,0.5,4.5,10.7,1.5,0.9,2.8,西南西,5.8,西南西,東,2.9,,
27,2.0,1.5,0.5,3.9,6.6,1.9,1.0,2.7,東,6.5,東,北北東,0.0,,
28,6.5,2.5,1.0,6.8,10.5,3.1,1.7,3.0,東,8.5,東,東北東,0.8,,
29,1.5,1.5,0.5,7.0,11.0,5.0,0.8,1.6,北,5.1,西南西,東,0.7,,
30,2.0,0.5,0.5,3.4,6.1,0.7,0.5,1.4,西南西,3.4,北東,南西,0.3,,
31,0.0,0.0,0.0,1.2,7.0,-3.4,0.6,1.6,東,6.0,北東,東南東,3.4,,
