,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-3.4,2.0,-10.8,1.4,3.4,南東,9.9,南東,南南西,3.1,,
2,0.0,0.0,0.0,0.7,4.7,-2.7,1.8,5.2,南,10.7,西南西,南,5.7,,
3,0.5,0.5,0.5,0.1,3.0,-2.9,1.4,3.6,南南西,7.8,南西,南南西,0.1,,
4,3.0,1.5,0.5,-0.3,3.9,-3.8,1.8,4.3,南,9.7,南東,南南西,4.0,,
5,0.0,0.0,0.0,-3.7,1.1,-10.4,2.2,5.1,東北東,12.0,北北東,南南西,6.9,,
6,0.0,0.0,0.0,-5.4,2.1,-12.9,1.4,3.9,北北東,7.5,北北東,北北東,6.3,,
7,21.5,5.0,1.0,-1.8,4.2,-8.4,1.1 ),3.1 ),南西 ),5.6 ),南南西 ),南西 ),0.3,,
8,26.5,6.5,1.5,4.7,11.1,1.5,2.5,5.2,南南西,13.4,南東,南南西,0.5,,
9,0.0,0.0,0.0,2.6,6.8,-1.2,2.1,5.7,東北東,11.1,西南西,南西,7.1,,
10,0.0,0.0,0.0,-0.8,4.0,-5.8,1.4,3.6,北北東,6.8,北東,北北東,4.0,,
11,0.0,0.0,0.0,-0.2,7.0,-7.1,1.9,5.4,南,12.0,西南西,南南西,7.5,,
12,0.0,0.0,0.0,-0.4,4.4,-5.3,1.7,3.0,西南西,6.8,西南西,南西,0.5,,
13,2.0,0.5,0.5,0.9,5.1,-1.3,2.3,4.9,南南西,10.9,西南西,南南西,1.9,,
14,0.5,0.5,0.5,0.3,4.6,-3.0,1.5,3.2,南南東,8.0,南南東,南西,2.7,,
15,0.0,0.5,0.0,-0.7,3.3,-3.9,1.8,4.7,東北東,8.5,東,南,2.1,,
16,0.0,0.0,0.0,-3.2,3.4,-8.5,1.3,3.1,西南西,7.2,北東,南南西,4.0,,
17,0.0,0.0,0.0,-2.3,3.7,-7.8,1.6,3.4,北東,8.2,北東,南南西,5.8,,
18,0.0,0.0,0.0,-1.9,0.7,-3.6,1.8,3.9,北北東,8.2,北東,北北東,0.2,,
19,0.0,0.0,0.0,-1.6,4.5,-9.0,1.6,4.8,南南西,10.8,南南西,南南西,5.8,,
20,0.0,0.0,0.0,1.4,5.3,-0.6,2.5,5.0,南,12.8,南,南南西,3.4,,
21,0.5,0.5,0.5,-1.1,2.8,-4.8,1.8,4.0,南西,10.1,東,北東,6.1,,
22,0.5,0.5,0.5,0.1,8.9,-9.4,1.9,3.8,西南西,8.2,南西,南南西,4.6,,
23,16.0,3.0,1.0,2.6,6.9,0.1,1.6,3.4,南,6.9,南,南南西,0.0,,
24,0.0,0.0,0.0,2.3,8.7,-1.2,1.8,3.7,南西,8.6,西南西,南南西,5.3,,
25,0.0,0.0,0.0,-1.3,1.0,-3.0,2.0,4.2,北北東,7.8,北北東,北東,3.1,,
26,0.0,0.0,0.0,0.1,4.8,-2.7,1.2,4.7,北北東,8.3,北,北北東,4.5,,
27,5.0,2.0,0.5,-1.2,2.2,-3.2,1.7,4.6,北北東,10.1,北北西,北北東,0.0,,
28,15.5,6.0,1.5,0.3,2.4,-2.2,1.8,4.3,北,11.3,北北東,北東,0.0,,
29,5.0,4.0,1.5,2.3,8.3,-1.2,1.0 ],3.1 ],北東 ],5.8 ],東北東 ],南 ],2.8,,
30,0.0,0.0,0.0,1.7,6.4,-1.7,2.2,4.2,南西,10.0,南西,南南西,2.6,,
31,0.0,0.0,0.0,-1.3,1.5,-4.9,2.3,6.1,東北東,12.9,東,北東,6.0,,
