,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-1.0,6.9,-8.9,2.2,8.0,西南西,12.3,西南西,西南西,,,
2,0.0,0.0,0.0,-0.7,5.3,-5.8,1.1,2.5,北北西,4.1,西北西,南南西,,,
3,0.0,0.0,0.0,0.9,8.5,-5.5,2.3,7.8,西南西,12.9,西,西南西,,,
4,1.5,1.5,0.5,1.4,5.9,-2.8,2.1,6.1,北北西,8.2,北北西,北北西,,,
5,0.5,0.5,0.5,-0.5,4.2,-6.1,1.7,4.9,北北西,7.2,北西,北北西,,,
6,0.0,0.0,0.0,-1.7,4.4,-8.9,1.8,4.8,北北西,6.7,北北西,南,,,
7,1.0,0.5,0.5,0.4,5.6,-6.1,3.6,10.1,南南東,15.4,南南東,南南東,,,
8,14.0,6.5,2.0,8.9,15.4,5.4,6.6,10.9,南南東,18.5,南西,南南東,,,
9,0.0,0.0,0.0,4.3,9.1,-1.8,2.4,6.0,北西,8.7,北西,北西,,,
10,0.0,0.0,0.0,1.2,6.2,-4.6,1.9,4.6,北北西,6.7,北北西,北北西,,,
11,0.0,0.0,0.0,1.9,10.9,-7.1,2.7,9.4,南,12.9,南,西南西,,,
12,0.0,0.0,0.0,1.1,5.3,-3.5,1.7,6.7,南南東,8.7,南南東,南,,,
13,0.0,0.0,0.0,4.1,9.1,1.6,5.2,8.4,南,12.3,南,南南東,,,
14,0.0,0.0,0.0,3.8,8.4,0.6,3.9,7.4,南南東,10.8,南南東,南南東,,,
15,0.5,0.5,0.5,1.7,7.3,-3.2,2.1,7.8,北北西,10.3,北北西,北北西,,,
16,0.0,0.0,0.0,-1.2,4.1,-6.1,1.3,3.7,北,6.2,西北西,北北西,,,
17,0.0,0.0,0.0,-0.3,5.5,-6.7,2.1,5.3,北北西,7.2,北北西,北北西,,,
18,0.0,0.0,0.0 ),0.6,3.0 ),-0.8 ),3.5 ),7.7 ),北 ),10.3 ),北 ),北北西,,,
19,0.0,0.0,0.0,2.3,6.2,-2.0,3.4,9.7,南南東,13.4,南,南南東,,,
20,0.0,0.0,0.0,5.5,10.1,3.3,6.5,10.4,南,14.4,南,南,,,
21,0.0,0.0,0.0,0.9,5.4,-6.4,3.9,8.0,西南西,13.9,南,北北西,,,
22,0.0,0.0,0.0,2.3,12.1,-9.1,5.2,11.0,南,14.9,南,南,,,
23,8.0,4.0,1.0,6.2,9.4,4.4,3.6,10.0,南,13.9,南,南南東,,,
24,0.0,0.0,0.0,5.5,9.4,1.3,3.1,8.2,北北西,10.8,北北西,北北西,,,
25,0.0,0.0,0.0,0.9,3.8,-0.8,2.7,4.4,北北西,6.2,北北西,北北西,,,
26,0.0,0.0,0.0,1.9,7.8,-1.6,1.9,5.3,北,7.2,北西,北西,,,
27,7.0,2.5,1.0,0.2,2.7,-2.5,1.2,3.5,北北西,4.6,北,北北西,,,
28,18.0,4.0,1.5,0.5,1.7,-0.7,1.6,4.7,北北西,6.7,北,北北西,,,
29,5.0 ],4.5 ],1.0 ],3.1 ],8.4 ],0.7 ],1.2 ],3.0 ],西 ],4.1 ],南 ],南 ],,,
30,0.0 ),0.0 ),0.0 ),5.2,10.8 ),-1.3 ),4.6 ),9.4 ),南南東 ),16.5 ),南西 ),南南東,,,
31,0.0,0.0,0.0,0.6,6.0,-5.7,2.8,6.0,北,8.7,北,北北西,,,
