,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-2.9,3.2,-8.4,0.9,3.9,北北西,11.4,北,北北西,6.2,,
2,0.0,0.0,0.0,-0.8,6.1,-5.3,0.9,2.7,北西,8.3,北,北西,5.6,,
3,0.0,0.0,0.0,1.5,5.1,-2.7,1.9,4.6,西北西,10.6,北,北西,4.8,,
4,4.0,2.5,0.5,0.4,5.5,-4.0,1.1,4.2,北西,12.3,北北西,北西,6.1,,
5,0.0,0.0,0.0,-2.2,1.5,-6.9,1.1,3.2,北西,8.6,北西,西北西,5.5,,
6,0.0,0.0,0.0,-2.1,5.5,-9.1,0.6,2.0,西,3.9,西北西,北北西,5.9,,
7,13.5,2.5,0.5,0.2,5.1,-5.0,0.3,1.0,北北西,2.4,北,北西,0.3,,
8,38.0,10.5,3.5,5.6,9.9,1.9,2.1,6.9,北西,18.7,西,北西,0.0,,
9,0.0,0.0,0.0,3.0,7.2,-0.8,1.6,4.2,北西,10.2,西,西北西,6.2,,
10,0.0,0.0,0.0,0.6,7.6,-3.5,0.7,2.2,北西,6.5,北西,北西,4.3,,
11,0.0,0.0,0.0,-0.3,7.4,-4.4,0.8,2.5,北北西,6.4,北北西,北西,6.0,,
12,0.0,0.0,0.0,0.4,5.5,-3.6,0.7,1.8,西北西,4.2,南西,北北西,0.1,,
13,1.5,1.0,0.5,1.6,6.6,-2.1,1.8,3.8,北北西,9.7,北西,北西,5.2,,
14,1.0,1.0,0.5,0.6,8.1,-5.0,0.6,2.5,南,6.1,南,北西,4.4,,
15,2.5,1.5,0.5,0.0,4.0,-4.0,1.3 ],3.2 ],北北西 ],8.1 ],北北西 ],西 ],5.3,,
16,0.0,0.0,0.0,-1.7,3.3,-5.9,0.6,2.5,南西,6.0,西,北西,1.7,,
17,0.0,0.0,0.0,-0.2,4.5,-4.5,0.4,1.4,南,2.8,南南東,南南東,1.7,,
18,3.0,0.5,0.5,-1.3,0.5,-4.4,0.5 ],1.6 ],南 ],3.1 ],南 ],南南東 ],0.0,,
19,0.0,0.0,0.0,-1.4,4.4,-7.6,0.7,2.8,北北西,6.4,北北西,北西,4.6,,
20,0.0,0.0,0.0,1.2,4.3,-2.7,1.5,3.6,西,9.8,西,西北西,1.4,,
21,0.0,0.0,0.0,-0.1,4.8,-5.3,1.7,4.4,北西,11.7,西北西,西北西,6.3,,
22,0.0,0.0,0.0,0.2,8.4,-6.6,0.7,2.3,北,6.3,南,北北西,2.3,,
23,38.0,6.0,2.0,3.6,8.6,1.1,0.5,1.6,北北西,3.4,北北西,北西,0.0,,
24,0.0,0.0,0.0,2.7,10.7,-1.8,0.8,2.9,北西,7.2,北,北北西,4.1,,
25,0.0,0.0,0.0,1.6,8.0,-2.5,0.4,1.6,南,3.4,南,南南東,3.6,,
26,2.5,1.5,0.5,0.7,5.7,-1.3,0.3 ],1.7 ],南 ],2.9 ],南 ],南 ],2.3,,
27,8.0,3.0,1.0,0.2,3.5,-1.2,0.3 ),2.0 ),西 ),4.7 ),西 ),西北西 ),0.0,,
28,5.0,2.0,1.0,2.2,6.6,-0.9,0.5 ],1.7 ],北北西 ],3.9 ],北 ],北西 ],1.1,,
29,0.5,0.5,0.5,5.2,9.7,2.2,0.8,2.7,西北西,9.8,西,西北西,0.6,,
30,0.0,0.0,0.0,1.0,5.7,-2.2,1.2,4.4,西,11.5,西,北西,3.9,,
31,0.0,0.0,0.0,-0.8,3.0,-3.5,1.6,3.9,西北西,10.6,北西,西,6.2,,
