,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-1.0,5.6,-5.1,2.3,5.0,西南西,7.1,西南西,西南西,8.2,,
2,0.0,0.0,0.0,-0.5,5.8,-6.1,1.4,3.7,北西,7.0,北西,北西,8.1,,
3,0.0,0.0,0.0,0.3,7.7,-3.3,1.1,3.4,西,6.8,北北西,南西,6.2,,
4,0.5,0.5,0.5,0.6,4.7,-3.3,2.6,5.5,西南西,8.7,西北西,西南西,7.3,,
5,0.5,0.5,0.5,-1.0,2.1,-4.5,3.5,6.0,西南西,9.3,南西,西南西,4.8,,
6,0.0,0.0,0.0,0.2,4.1,-2.6,4.2,6.4,西南西,10.4,西,西,8.2,,
7,0.5,0.5,0.5,-0.6,4.7,-6.0,1.3,3.0,東南東,5.9,東,南東,1.6,,
8,7.5,5.5,1.5,6.0,14.0,0.3,2.6,6.9,南西,14.1,南西,南西,3.0,,
9,0.0,0.0,0.0,3.0,7.7,-2.5,2.7,6.4,西北西,13.2,西北西,西北西,7.2,,
10,0.0,0.0,0.0,0.5,5.5,-3.9,1.8,5.1,西南西,7.2,西南西,南西,6.8,,
11,0.0,0.0,0.0,0.3,10.6,-6.4,1.1,4.2,南西,9.1,南,南西,8.3,,
12,0.0,0.0,0.0,-0.7,4.0,-5.0,0.6,2.0,南南西,5.2,南南西,南,0.1,,
13,0.0,0.0,0.0,1.0,7.9,-4.8,1.4,4.8,南西,9.4,南,北北西,6.4,,
14,0.0,0.0,0.0,0.9,5.7,-5.3,1.0,4.3,南南西,8.0,南南西,北東,3.7,,
15,1.5,0.5,0.5,1.4,7.2,-2.9,1.7,5.2,西北西,9.6,北北西,西南西,3.3,,
16,0.0,0.0,0.0,-1.6,4.2,-6.9,1.2,3.2,北北西,6.1,北北西,西南西,5.9,,
17,0.0,0.0,0.0,-0.9,4.7,-6.6,0.8,2.6,北,5.5,北,南南西,5.6,,
18,0.0,0.0,0.0,-0.1,1.7,-1.7,1.7,4.7,西,7.4,西,西,0.0,,
19,0.0,0.0,0.0,1.5,6.0,-2.5,2.3,4.7,西南西,7.5,西南西,西南西,6.6,,
20,0.0,0.0,0.0,2.2,8.5,-5.2,1.7,4.1,南西,8.0,西南西,北西,7.3,,
21,0.0,0.0,0.0,0.0,3.1,-4.5,3.1,4.7,北西,10.0,北西,西,6.5,,
22,0.0,0.0,0.0,0.8,8.7,-8.9,1.6,4.3,南南西,8.7,南西,東,6.2,,
23,4.0,2.0,0.5,2.6,5.8,-2.8,0.4,1.4,東北東,4.2,南,北東,0.0,,
24,0.0,0.0,0.0,4.2,9.2,0.2,1.8,4.9,西南西,7.8,北西,西北西,6.3,,
25,0.0,0.0,0.0,0.5,3.8,-1.5,2.4,4.9,西,8.5,西,西,6.3,,
26,0.0,0.0,0.0,1.4,7.6,-1.1,1.3,3.5,南西,6.6,西,西南西,3.3,,
27,4.5,3.0,1.0,-0.2,3.1,-2.6,1.5,4.0,東南東,8.2,東南東,南東,0.0,,
28,7.0,3.0,1.0,2.2,5.3,-1.3,2.4,4.8,東,10.1,東南東,東南東,0.7,,
29,5.0,3.5,1.0,5.1,11.1,0.9,1.4,3.7,北西,7.5,北,西南西,2.9,,
30,0.5,0.5,0.5,5.7,11.4,0.5,3.7,6.7,西南西,12.8,南西,南西,7.7,,
31,0.0,0.0,0.0,0.1,3.5,-5.3,3.4,5.4,西,10.7,北北西,西,5.2,,
