,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-4.9,3.1,-13.0,1.7,7.1,南西,15.3,西,北東,8.9,,
2,0.0,0.0,0.0,-4.1,2.3,-10.9,1.3,3.3,南南西,6.4,南,北北東,9.1,,
3,0.0,0.0,0.0,0.1,4.0,-4.3,3.9,8.6,西,14.8,西,西南西,5.7,,
4,0.0,0.0,0.0,-2.5,2.0,-5.5,2.4,5.4,北北東,11.0,西,北東,5.4,,
5,0.0,0.0,0.0,-5.7,-2.1,-10.6,2.7,5.0,北北東,9.6,北北東,北東,6.7,,
6,0.0,0.0,0.0,-4.0,0.7,-7.9,2.4,5.9,東北東,10.1,東北東,北東,7.7,,
7,6.5,1.5,0.5,-1.5,2.7,-9.1,4.0,7.2,南西,12.5,南南西,南西,1.9,,
8,10.5,5.5,2.0,4.6,10.7,1.5,6.9,15.1,西南西,27.0,西南西,南西,3.5,,
9,0.0,0.0,0.0,0.1,3.1,-3.0,3.0,6.7,西南西,11.5,北東,北東,8.9,,
10,0.0,0.0,0.0,-1.9,1.5,-6.0,2.0,4.3,南南西,8.8,南西,北北東,5.1,,
11,0.0,0.0,0.0,-0.8,4.3,-6.6,3.0,6.9,南南西,12.2,南,南南西,8.6,,
12,0.0,0.0,0.0,-2.7,1.2,-8.0,1.9,6.0,南西,8.9,南南西,南南西,2.4,,
13,0.0,0.0,0.0,-0.1,5.6,-4.7,3.3,7.1,南西,11.4,西南西,南西,7.8,,
14,0.5,0.5,0.5,-1.4,4.8,-8.9,2.0,4.6,南西,7.1,南西,南西,4.6,,
15,6.0,2.5,0.5,-2.9,0.4,-8.5,1.7,4.8,北北東,9.2,北北東,北東,4.3,,
16,0.0,0.0,0.0,-7.0,1.0,-15.9,1.1,4.6,南西,7.9,南西,南西,7.6,,
17,0.0,0.0,0.0,-4.8,0.3,-12.9,1.1,2.5,北北東,4.8,北北東,北東,5.6,,
18,4.0,1.0,0.5,-4.9,-4.2,-6.1,2.6,4.7,北東,8.5,東北東,北東,0.0,,
19,0.0,0.0,0.0,-3.6,0.6,-12.2,3.4,7.2,西南西,12.7,西南西,北東,7.5,,
20,0.0,0.0,0.0,-1.6,4.9,-9.2,2.8,7.4,西南西,14.9,西,西南西,9.0,,
21,0.0,0.0,0.0,-5.4,-1.4,-15.7,2.8,7.7,西,16.6,西,北東,4.6,,
22,0.0,0.0,0.0,-0.4,3.4,-15.6,3.4,6.7,南南西,12.1,南,南南西,3.9,,
23,4.5,1.0,0.5,2.4,6.9,-0.3,3.2,6.3,南西,10.1,南西,南西,0.2,,
24,0.0,0.0,0.0,1.2,6.8,-3.5,2.0,3.9,北北東,7.4,北北東,北東,7.3,,
25,0.0,0.0,0.0,-3.2,0.7,-5.8,1.9,3.4,北北東,5.7,北北東,北北東,3.6,,
26,0.0,0.0,0.0,-2.1,2.0,-4.3,2.0,4.2,北北東,7.0,北北東,北東,4.7,,
27,6.5,2.0,0.5,-2.7,2.0,-4.9,1.6,4.6,南西,6.7,南西,北北東,0.0,,
28,8.5,2.5,1.0,-0.6,1.9,-3.8,1.5,3.9,南西,7.0,南西,南南西,0.2,,
29,6.5,4.0,1.5,2.3,7.4,-0.6,1.4,3.2,北東,5.7,東北東,北東,7.4,,
30,0.0,0.0,0.0,0.7,4.2,-3.1,2.7,6.6,西南西,10.6,西南西,南西,4.8,,
31,0.0,0.0,0.0,-4.5,-0.7,-10.4,2.6,5.9,北北東,10.9,北北東,北東,3.5,,
