,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.5,0.5,0.5,-2.2,0.6,-4.4,5.3,10.5,西,18.2,西,西,1.7,,
2,0.0,0.0,0.0,-0.5,1.5,-3.1,5.1,8.6,西,18.5,西北西,西,0.9,,
3,0.0,0.0,0.0,1.5,4.5,-1.5,3.8,6.6,西,12.4,西,西,5.9,,
4,0.0,0.0,0.0,-1.9,0.5,-4.5,3.1,6.2,西,11.2,西南西,西北西,6.0,,
5,0.0,0.0,0.0,-2.1,1.3,-4.6,2.9,5.5,西北西,11.8,西北西,西北西,4.1,,
6,0.0,0.0,0.0,0.3,3.1,-5.2,3.2,6.6,西北西,13.6,西北西,西北西,2.5,,
7,0.0,0.0,0.0,0.9,4.8,-2.1,1.6,3.7,西北西,6.4,西,西北西,1.1,,
8,29.5,3.5,1.0,4.4,6.2,3.1,5.4,7.8,東北東,15.5,東北東,東南東,0.0,,
9,1.5,1.5,0.5,2.3,3.8,0.8,1.8,5.9,北東,10.8,北北東,西北西,0.0,,
10,0.0,0.0,0.0,0.9,4.1,-1.3,1.2,2.9,北,5.9,北,北北西,1.8,,
11,2.0,1.0,0.5,2.3,6.5,-2.4,1.7,5.3,西南西,9.0,南西,南西,4.0,,
12,0.0,0.0,0.0,0.4,3.5,-3.5,1.1,3.0,北西,4.7,西北西,西北西,0.4,,
13,0.0,0.0,0.0,0.1,2.9,-2.4,1.5,4.7,西,10.3,西北西,西北西,1.0,,
14,0.0,0.0,0.0,-0.6,2.9,-4.2,1.2,2.5,西北西,4.5,西北西,西北西,0.6,,
15,1.5,1.0,0.5,0.7,3.5,-1.2,1.4,3.2,北,5.9,北,西北西,0.0,,
16,0.5,0.5,0.5,-0.4,2.2,-2.2,1.7,4.3,西,8.7,西,西北西,2.6,,
17,3.5,2.0,0.5,-0.7,1.5,-2.0,1.7,3.9,西北西,7.3,北北西,北西,4.2,,
18,0.0,0.0,0.0,-1.3,1.7,-3.9,1.5,2.9,北北東,5.8,北北西,西北西,2.2,,
19,3.0,0.5,0.5,0.6,3.5,-2.0,1.4,3.4,南東,6.5,南東,西北西,0.3,,
20,1.0,0.5,0.5,1.5,6.3,-1.5,1.9,5.5,西,10.2,北西,西北西,1.9,,
21,0.0,0.0,0.0,-0.5,2.8,-5.1,3.1,6.0,西北西,13.0,西,西北西,5.9,,
22,0.0,0.0,0.0,2.0,5.9,-4.4,2.3,6.3,西南西,11.3,西南西,西南西,5.1,,
23,1.0,1.0,0.5,2.4,7.6,-3.0,1.7,6.6,西南西,11.2,西南西,西,6.4,,
24,1.5,1.5,0.5,-0.7,3.8,-3.1,2.9,7.5,西,14.1,西北西,西北西,2.0,,
25,0.0,0.0,0.0,-2.0,0.9,-5.3,3.6,6.6,西,12.2,西北西,西北西,6.1,,
26,0.0,0.0,0.0,-1.4,2.7,-6.2,2.3,5.3,西北西,9.8,西,西北西,5.6,,
27,0.0,0.0,0.0,0.4,6.0,-4.9,2.0,5.2,西北西,9.4,西,西北西,8.6,,
28,0.0,0.0,0.0,4.5,5.9,-1.7,5.8,8.5,南東,14.7,南東,東南東,0.6,,
29,28.5,4.0,1.0,6.2,7.2,4.6,6.8,8.6,南東,17.2,東北東,東南東,0.0,,
30,34.5,5.0,1.5,3.3,5.6,0.7,3.3,8.8,北東,17.2,東,西,0.0,,
31,0.5,0.5,0.5,2.6,4.7,1.8,1.6,3.0,北北西,5.7,北西,西北西,0.0,,
