,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,3.0,1.0,0.5,-1.5,0.1,-3.0,8.0,12.5,西,23.8,西,西,0.3,5.0,15.0
2,0.5,0.5,0.5,-0.1,2.0,-2.2,7.0,10.1,西北西,18.1,西,西,5.4,1.0,15.0
3,2.5,2.0,1.0,1.5,3.8,-0.5,5.5,10.4,西北西,17.9,西北西,西,3.1,3.0,13.0
4,0.0,0.0,0.0,-0.8,0.3,-2.1,6.3,10.7,西北西,15.4,北西,西北西,0.8,0.0,11.0
5,0.0,0.0,0.0,-0.4,0.8,-2.1,7.1,10.8,北西,16.5,西北西,西北西,2.3,0.0,10.0
6,0.0,0.0,0.0,1.8,2.8,-0.3,7.4,12.0,北西,17.4,西北西,西北西,1.7,0.0,9.0
7,0.0,0.0,0.0,-0.2,3.0,-3.7,1.5,5.7,北北西,8.3,北北西,南東,3.6,0.0,7.0
8,46.0,5.0,1.0,2.0,4.0,-0.8,2.6,4.5,南東,9.4,南東,南東,0.0,4.0,10.0
9,6.5,1.5,0.5,1.1,2.7,-0.2,1.0,3.6,東北東,8.9,東北東,東北東,0.0,0.0,3.0
10,0.0,0.0,0.0,0.4,3.6,-1.3,1.1,2.2,南東,4.4,北北東,南南東,3.2,0.0,2.0
11,4.0,1.0,0.5,1.2,5.4,-1.8,1.7,4.3,西北西,6.7,南,南南東,1.7,0.0,1.0
12,0.0,0.0,0.0,1.9,4.4,-1.2,2.2,4.5,西北西,7.3,西北西,西北西,1.7,0.0,0.0
13,0.5,0.5,0.5,0.5,2.7,-0.8,2.4,5.9,西北西,11.3,西南西,西北西,0.2,1.0,1.0
14,1.5,1.0,0.5,-0.7,1.0,-3.4,1.4,3.5,北西,5.5,北西,南東,0.1,6.0,4.0
15,1.5,1.0,0.5,-0.7,3.5,-5.7,1.1,3.2,西,5.7,西,南東,2.2,1.0,3.0
16,1.5,1.0,0.5,-0.1,1.8,-3.0,3.5,6.7,西北西,11.2,西北西,西,4.4,6.0,7.0
17,0.0,0.0,0.0,0.5,1.7,-1.9,4.0,7.8,西南西,12.9,西,西,1.6,2.0,4.0
18,0.0,0.0,0.0,-1.1,1.3,-4.4,1.6,4.8,北北西,7.0,北北西,東南東,3.9,0.0,2.0
19,0.5,0.5,0.5,0.2,4.8,-4.2,1.3,3.6,北,6.2,北,南東,3.2,1.0,2.0
20,1.5,1.0,0.5,1.4,5.2,-2.5,3.6,7.7,西,13.5,西,西,3.4,0.0,0.0
21,0.5,0.5,0.5,0.6,1.9,-1.0,6.2,10.4,西北西,18.3,北西,西,5.6,0.0,0.0
22,0.0,0.0,0.0,1.7,5.5,-2.0,2.4,5.8,西南西,12.2,西,南東,4.8,0.0,0.0
23,0.0,0.0,0.0,3.5,6.8,-2.1,2.2,5.1,西,8.9,南西,西北西,5.2,0.0,0.0
24,1.0,1.0,0.5,0.7,5.0,-2.3,6.0,11.1,西北西,21.5,西北西,西北西,2.9,0.0,0.0
25,0.0,0.0,0.0,-0.9,0.2,-2.1,7.7,10.8,西北西,17.8,西北西,西北西,1.8,0.0,0.0
26,0.0,0.0,0.0,0.4,2.1,-1.1,5.2,8.9,西,14.6,西,西,3.2,0.0,0.0
27,0.0,0.0,0.0,1.7,4.7,-2.0,4.4,9.4,西北西,15.4,西北西,西北西,7.9,0.0,0.0
28,6.0,2.0,0.5,2.0,4.0,-2.9,2.8,4.8,東南東,10.7,東,南東,0.0,0.0,0.0
29,45.0,5.0,1.0,4.7,7.0,1.8,3.5,6.4,東,13.0,東,東,0.0,0.0,0.0
30,30.5,5.5,1.0,3.9,6.0,0.7,4.9,9.7,北北西,13.4,西,西,0.0,0.0,0.0
31,1.0,1.0,0.5,3.1,4.6,1.4,3.6,6.7,西,11.9,西,西,1.3,0.0,0.0
