,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,2.5,1.5,0.5,-0.7,0.6,-3.6,7.3,9.2,西,20.6,西,西,0.0,4.0,9.0
2,0.5,0.5,0.5,0.9,2.6,-1.3,5.9,8.4,西,17.2,西北西,西,1.0,2.0,7.0
3,0.5,0.5,0.5,2.3,4.0,-0.5,5.3,8.1,西,15.9,西,西,1.3,0.0,6.0
4,0.5,0.5,0.5,-0.2,0.7,-2.0,4.3,6.9,北西,14.3,西北西,西北西,0.1,1.0,5.0
5,0.0,0.0,0.0,0.1,1.7,-1.0,4.9,6.4,西北西,14.4,西北西,西北西,0.3,1.0,5.0
6,0.0,0.0,0.0,2.3,2.9,1.4,4.3,6.9,西,14.6,西北西,西北西,0.2,0.0,4.0
7,0.0,0.0,0.0,0.4,3.1,-3.8,1.4,2.8,東北東,5.2,東北東,南南東,4.3,0.0,3.0
8,20.5,3.5,1.0,2.0,4.0,0.0,3.6,6.1,東,11.1,東,東,0.0,2.0,5.0
9,4.5,1.0,0.5,2.3,5.0,0.2,2.1,6.0,東北東,9.7,西北西,南東,0.2,0.0,1.0
10,0.0,0.0,0.0,1.5,3.7,-1.1,1.3,2.3,東北東,4.5,南東,南東,0.1,0.0,0.0
11,14.5,3.0,1.0,2.0,6.5,-0.5,1.9,4.1,南南西,7.4,南南西,南南西,1.5,0.0,0.0
12,0.0,0.0,0.0,1.9,4.5,0.5,1.7,2.9,南南西,6.9,南,南南西,0.7,0.0,0.0
13,1.5,1.0,0.5,0.9,2.6,-0.4,2.0,3.7,西北西,8.5,西北西,北西,0.3,0.0,0.0
14,1.0,0.5,0.5,-0.5,1.7,-1.6,1.5,3.5,南南西,5.4,南,南南東,1.8,0.0,0.0
15,7.5,2.5,1.0,0.2,3.3,-4.0,1.5,4.1,西,8.2,西,南南東,5.7,3.0,3.0
16,1.0,1.5,1.0,0.4,1.5,-0.9,3.6,5.4,西,11.1,西,西南西,0.8,1.0,3.0
17,0.0,0.0,0.0,1.3,2.9,0.4,3.8,6.4,西,12.5,西,西南西,2.5,0.0,2.0
18,0.0,0.0,0.0,-0.6,1.3,-3.4,1.9,4.3,東北東,7.5,東,東,3.8,0.0,2.0
19,0.0,0.0,0.0,-0.6,3.6,-6.1,1.2,2.5,東,4.2,南,南東,2.8,0.0,2.0
20,6.5,3.0,1.0,2.5,4.3,-0.2,3.2,6.9,西,15.1,西,西北西,0.5,6.0,7.0
21,4.0,1.0,0.5,0.6,2.9,-1.0,4.5,6.9,西,14.8,西,西北西,0.0,5.0,6.0
22,1.0,1.0,0.5,3.5,6.0,0.4,3.0,5.3,西,11.0,西,南西,3.7,0.0,5.0
23,2.0,1.5,0.5,3.6,7.0,-0.3,1.8,4.8,南南西,10.3,南西,南,3.3,0.0,1.0
24,0.5,0.5,0.5,1.6,5.5,-1.7,4.3,6.4,北西,15.0,西北西,西北西,0.4,0.0,0.0
25,0.0,0.0,0.0,-0.9,0.1,-1.8,4.3,5.7,西北西,13.3,西北西,西北西,0.6,0.0,0.0
26,0.0,0.0,0.0,0.7,2.5,-1.4,3.3,5.4,西,10.7,西北西,西北西,1.4,0.0,0.0
27,0.0,0.0,0.0,1.7,5.3,-3.2,2.6,4.9,西北西,9.8,西北西,西北西,3.6,0.0,0.0
28,0.0,0.0,0.0,3.1,6.3,-0.3,4.0,6.5,東,12.6,東,東,3.4,0.0,0.0
29,27.5,4.5,1.0,4.4,5.8,3.1,2.0,4.5,東,8.9,東,東,0.0,0.0,0.0
30,15.0,2.0,0.5,4.1,7.6,0.3,3.3,5.8,西,11.2,西,西北西,0.0,0.0,0.0
31,7.5,5.0,2.0,3.4,5.3,1.4,3.5,6.4,西,14.4,西,西,0.1,0.0,0.0
