,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,6.6,12.0,3.5,2.1,3.2,西北西,5.8,南,北西,5.4,,
2,0.0,0.0,0.0,6.7,12.7,1.8,2.2,3.3,北北西,5.5,北北西,北北西,8.1,,
3,0.0,0.0,0.0,7.0,13.5,2.2,2.1,3.2,北北西,5.7,北北西,北北西,9.2,,
4,0.0,0.0,0.0,7.3,13.0,3.0,2.2,3.4,東南東,5.7,南東,北北西,6.6,,
5,0.0,0.0,0.0,7.4,12.5,3.7,2.1,3.9,西北西,8.6,北西,西,9.3,,
6,0.0,0.0,0.0,7.5,13.5,2.3,2.0,3.0,西北西,6.0,西北西,北西,6.1,,
7,0.0,0.0,0.0,8.6,11.9,6.6,1.6,2.9,東南東,5.4,西北西,北西,0.9,,
8,29.0,14.5,4.0,12.5,20.5,7.4,2.2,6.9,西南西,12.9,西南西,南西,4.3,,
9,0.0,0.0,0.0,13.0,16.8,7.9,2.8,5.7,北西,11.8,北北西,西北西,9.3,,
10,0.0,0.0,0.0,9.7,13.9,5.2,2.0,4.1,南東,6.3,東,北北西,7.2,,
11,0.0,0.0,0.0,8.8,14.4,5.2,1.8,4.0,南南西,8.4,南南西,北西,5.8,,
12,0.0,0.0,0.0,7.2,12.2,3.4,1.9,3.2,北北西,5.2,北北西,北北西,0.2,,
13,0.0,0.0,0.0,7.7,14.0,2.8,2.3,3.6,東,6.6,南東,北北西,9.4,,
14,0.0,0.0,0.0,7.6,12.5,2.0,2.0,3.2,南南東,6.4,南,北北西,6.5,,
15,7.0,2.5,0.5,8.7,13.3,5.7,1.8,3.6,北西,7.0,西北西,北西,6.8,,
16,0.0,0.0,0.0,6.9,11.1,3.2,1.8,3.3,北北西,5.2,北北西,北北西,2.8,,
17,1.0,1.0,0.5,7.5,12.3,3.9,2.0,4.6,東南東,8.3,北東,北北西,4.4,,
18,5.0,1.5,0.5,5.2,6.3,4.1,1.7,3.5,東南東,5.0,東南東,東南東,0.0,,
19,0.0,0.0,0.0,6.8,12.1,2.3,1.5,3.4,南南東,6.0,南南西,北北西,6.5,,
20,0.0,0.0,0.0,7.0,13.3,1.8,2.0,3.3,北西,5.5,北北西,北北西,9.5,,
21,0.0,0.0,0.0,7.7,13.7,2.4,2.2,3.9,南南東,6.5,南南東,北北西,9.6,,
22,0.0,0.0,0.0,8.9,14.5,4.6,1.8,3.2,南南西,6.2,南,北西,2.9,,
23,19.0,4.0,1.0,8.5,9.9,7.2,2.3,3.4,北西,6.5,北西,北西,0.0,,
24,0.0,0.0,0.0,11.8,16.0,9.1,1.6,2.7,南東,4.8,南南東,北西,1.9,,
25,0.0,0.0,0.0,9.7,13.0,7.9,2.0,4.6,南東,6.9,東,北西,2.9,,
26,10.5,2.5,0.5,6.0,8.4,4.6,1.2,2.2,南東,4.1,南,北西,0.0,,
27,7.0,2.0,0.5,5.9,9.0,4.2,2.8,7.7,北東,14.0,北東,北北西,0.0,,
28,22.0,5.5,1.5,7.5,10.1,4.9,3.7,6.4,北西,15.5,北西,北西,0.0,,
29,3.5,3.0,1.0,12.1,17.3,7.9,2.0,5.9,北西,10.9,北西,北西,6.1,,
30,0.0,0.0,0.0,11.9,18.5,7.2,2.1,4.3,南南西,8.0,南南西,北北西,9.0,,
31,0.0,0.0,0.0,9.0,14.4,4.0,2.1,4.9,南東,7.8,西北西,北北西,8.5,,
