,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,631.8,,,,,-17.1,-15.2,-18.8,39.0,22.0,,,,,,×,,,,
2,632.7,,,,,-17.0,-15.8,-18.9,32.0,14.0,,,,,,×,,,,
3,629.3,,,,,-16.8,-14.6,-19.3,38.0,14.0,,,,,,×,,,,
4,627.1,,,,,-17.7,-15.3,-21.1,54.0,22.0,,,,,,×,,,,
5,628.4,,,,,-20.4,-14.3,-24.4,40.0,9.0,,,,,,×,,,,
6,637.7,,,,,-12.5,-9.9,-15.2,17.0,5.0,,,,,,×,,,,
7,637.8,,,,,-8.4,-6.3,-14.0,100.0,84.0,,,,,,×,,,,
8,626.0,,,,,-9.4,-3.3,-14.3,100.0,99.0,,,,,,×,,,,
9,626.7,,,,,-15.8,-13.2,-17.1,77.0,48.0,,,,,,×,,,,
10,628.7,,,,,-16.1,-14.5,-18.8,35.0,24.0,,,,,,×,,,,
11,629.6,,,,,-15.7,-13.1,-17.4,46.0,26.0,,,,,,×,,,,
12,627.3,,,,,-14.8,-12.1,-17.8,78.0,25.0,,,,,,×,,,,
13,626.4,,,,,-17.9,-16.0,-20.6,52.0,30.0,,,,,,×,,,,
14,632.3,,,,,-16.5,-15.0,-18.2,65.0,25.0,,,,,,×,,,,
15,628.5,,,,,-19.0,-13.1,-22.2,91.0,86.0,,,,,,×,,,,
16,631.2,,,,,-16.5,-14.4,-21.2,48.0,16.0,,,,,,×,,,,
17,631.1,,,,,-14.4,-11.6,-17.0,76.0,18.0,,,,,,×,,,,
18,627.2,,,,,-13.1,-10.7,-17.3,99.0,94.0,,,,,,×,,,,
19,627.4,,,,,-17.1,-13.5,-20.0,73.0,26.0,,,,,,×,,,,
20,628.4,,,,,-14.8,-12.8,-17.4,42.0,14.0,,,,,,×,,,,
21,631.1,,,,,-15.6,-13.0,-19.2,24.0,10.0,,,,,,×,,,,
22,638.5,,,,,-13.1,-8.1,-16.1,50.0,18.0,,,,,,×,,,,
23,638.5,,,,,-7.9,-4.3,-11.0,100.0,99.0,,,,,,×,,,,
24,638.0,,,,,-14.3,-11.1,-16.0,99.0,97.0,,,,,,×,,,,
25,638.6,,,,,-14.4,-9.5,-16.2,78.0,49.0,,,,,,×,,,,
26,636.9,,,,,-12.0,-9.0,-17.1,92.0,29.0,,,,,,×,,,,
27,636.8,,,,,-8.4,-4.3,-12.7,78.0,21.0,,,,,,×,,,,
28,634.1,,,,,-8.0,-5.8,-10.1,100.0,99.0,,,,,,×,,,,
29,627.6,,,,,-13.0,-6.9,-17.0,99.0,96.0,,,,,,×,,,,
30,620.9,,,,,-18.1,-16.5,-19.5,82.0,62.0,,,,,,×,,,,
31,621.1,,,,,-18.1,-15.6,-20.2,46.0,12.0,,,,,,×,,,,
