,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,4.1,10.5,-1.1,1.2,3.9,西北西,9.1,西,西南西,7.7,,
2,0.0,0.0,0.0,6.0,12.0,0.9,1.1,2.4,北西,7.7,西,北西,9.4,,
3,0.0,0.0,0.0,7.1,12.1,2.0,1.7,3.5,北西,9.7,北西,北西,9.2,,
4,0.0,0.0,0.0,6.9,12.3,3.1,1.3,4.1,北西,10.0,北西,北北西,8.5,,
5,0.0,0.0,0.0,4.8,10.5,0.9,1.0,2.1,北西,6.7,南,西北西,9.2,,
6,0.0,0.0,0.0,7.4,13.0,1.1,1.9,4.1,北,7.2,北,北,7.2,,
7,0.5,0.5,0.5,8.3,12.2,5.6,2.6,4.8,北,7.4,北,北東,2.1,,
8,30.5,17.0,3.5,11.2,16.1,8.0,2.4,6.0,南南西,14.5,南,北西,2.9,,
9,0.0,0.0,0.0,9.0,13.9,5.2,1.5,3.9,北西,10.8,北西,北西,9.4,,
10,0.0,0.0,0.0,8.1,13.3,3.5,1.6,3.5,東北東,6.1,東北東,北東,8.8,,
11,0.0,0.0,0.0,7.4,12.4,4.1,1.7,4.2,北北東,6.8,北西,北東,6.8,,
12,0.0,0.0,0.0,5.8,10.7,1.5,1.2,3.1,北北東,4.9,北,北北東,0.0,,
13,0.0,0.0,0.0,5.7,11.0,0.8,1.2,3.8,西北西,10.5,西北西,北,9.3,,
14,1.0,1.0,0.5,6.4,12.9,1.8,1.0,2.9,北西,6.1,南南西,北西,8.4,,
15,9.0,4.5,1.0,5.9,10.7,2.4,1.4,4.9,北西,9.5,西北西,北西,8.6,,
16,0.0,0.0,0.0,5.3,9.8,0.9,1.2,6.0,北西,10.0,西北西,西,2.9,,
17,7.5,2.0,0.5,5.7,10.5,2.1,2.3,5.7,東北東,10.3,東北東,東北東,0.3,,
18,4.5,1.0,0.5,4.8,6.4,3.1,1.8,4.6,東北東,7.0,東北東,東,0.0,,
19,0.0,0.0,0.0,4.7,10.0,0.6,1.0,2.6,南,4.7,西南西,西北西,4.4,,
20,0.0,0.0,0.0,7.0,12.2,1.2,1.4,3.1,北西,8.7,西,北西,9.4,,
21,0.0,0.0,0.0,7.1,12.7,3.0,1.7,4.1,西北西,11.4,西北西,北西,9.5,,
22,0.0,0.0,0.0,8.0,12.3,4.7,1.7,4.1,北,6.5,北,北北東,2.5,,
23,21.0,4.5,1.5,9.7,12.2,6.6,1.5,4.4,北,7.4,北,東北東,0.0,,
24,0.0,0.0,0.0,10.5,15.9,6.6,0.9,2.2,東北東,4.5,北西,西北西,4.9,,
25,0.0,0.0,0.0,8.8,13.2,5.0,2.0,4.2,東北東,6.7,東,東北東,2.7,,
26,11.5,2.5,1.0,5.3,6.3,4.3,3.2,4.5,東北東,7.1,東北東,東北東,0.0,,
27,12.0,4.5,1.0,5.4,7.4,2.5,6.3,10.3,東北東,18.0,東北東,東北東,0.0,,
28,5.5,3.0,0.5,10.0,13.0,5.8,8.0,11.4,東北東,21.7,東北東,東北東,1.4,,
29,0.0,0.0,0.0,11.0,16.2,6.8,1.4,5.6,北東,11.7,北西,北北西,9.1,,
30,0.0,0.0,0.0,7.9,12.6,4.7,1.6,3.5,北西,12.4,西北西,北西,9.9,,
31,0.0,0.0,0.0,5.9,11.5,1.5,1.5,5.6,北西,12.5,西北西,北西,9.8,,
