,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1027.1,1027.8,,,,6.8,10.3,1.0,60.0,49.0,2.4,5.2,西南西,8.8,西南西,7.2,,,,
2,1025.3,1026.0,,,,8.5,12.4,2.4,67.0,51.0,2.5,4.7,西南西,7.8,西南西,8.1,,,,
3,1021.3,1022.0,,,,11.0,13.6,8.4,62.0,49.0,3.7,5.5,西南西,9.8,西南西,5.9,,,,
4,1019.4,1020.1,,,,10.1,13.3,7.2,57.0,42.0,3.6,8.4,北西,12.8,北西,6.9,,,,
5,1027.5,1028.2,,,,7.5,11.0,3.2,62.0,43.0,2.0,4.8,西北西,9.0,西北西,7.5,,,,
6,1028.3,1029.0,,,,6.2,10.3,1.0,68.0,51.0,1.5,3.1,北,4.6,北,5.0,,,,
7,1019.8,1020.5,0.5,0.5,0.5,8.6,11.3,6.4,81.0,67.0,1.6,4.2,北北東,6.7,北東,0.8,,,,
8,1008.5,1009.1,15.0,10.0,2.5,12.2,15.8,7.4,73.0,50.0,6.3,13.4,西南西,23.1,南西,4.1,,,,
9,1016.7,1017.3,0.0,0.0,0.0,10.8,14.7,6.1,64.0,49.0,3.7,6.6,西南西,10.9,西南西,6.1,,,,
10,1019.2,1019.9,,,,8.5,11.9,4.2,61.0,37.0,1.9,5.3,北西,9.1,西北西,9.2,,,,
11,1016.1,1016.8,,,,7.4,13.0,3.4,71.0,50.0,1.5,3.8,西,6.4,西南西,8.1,,,,
12,1011.8,1012.4,1.0,1.0,0.5,8.3,10.4,5.3,75.0,55.0,2.0,8.3,西南西,12.7,西南西,0.0,,,,
13,1017.4,1018.0,0.0,0.0,0.0,9.0,11.9,6.6,58.0,44.0,4.0,6.9,西南西,11.8,西南西,6.4,,,,
14,1021.3,1022.0,2.5,1.0,0.5,7.4,9.6,5.8,73.0,52.0,1.6,3.1,北,6.4,北西,0.1,,,,
15,1022.2,1022.9,1.0,2.0,1.0,7.9,11.2,5.6,63.0,52.0,3.5,6.1,西南西,12.1,西北西,7.2,,,,
16,1022.8,1023.5,,,,5.3,9.5,1.7,77.0,54.0,1.4,2.8,西北西,4.6,西北西,2.4,,,,
17,1017.6,1018.2,,,,7.3,10.4,4.8,71.0,48.0,1.2,3.0,北北東,4.3,南東,1.4,,,,
18,1015.0,1015.6,0.0,0.0,0.0,8.4,12.0,3.7,60.0,38.0,2.4,6.3,北,9.2,北,9.4,,,,
19,1016.8,1017.4,0.0,0.0,0.0,7.1,11.1,0.8,69.0,51.0,2.7,8.4,西南西,13.2,西南西,4.9,,,,
20,1018.2,1018.8,0.0,0.0,0.0,10.3,12.4,9.0,53.0,41.0,4.5,7.6,西南西,13.1,西南西,3.5,,,,
21,1025.9,1026.6,,,,8.7,12.1,4.2,53.0,39.0,2.6,5.3,北西,9.1,西北西,8.8,,,,
22,1026.5,1027.2,6.5,2.0,0.5,6.8,10.4,3.3,79.0,61.0,1.7,4.3,北北東,6.4,北北東,0.8,,,,
23,1019.6,1020.3,15.5,5.5,1.5,10.1,12.0,7.5,96.0,89.0,1.4,4.2,北北東,7.0,北北東,0.0,,,,
24,1024.9,1025.5,0.0,0.0,0.0,11.2,13.4,9.4,86.0,62.0,1.7,5.2,北北東,8.6,北東,0.1,,,,
25,1027.8,1028.5,0.5,0.5,0.5,8.2,10.9,6.7,67.0,50.0,2.8,5.2,北北東,8.0,北東,1.3,,,,
26,1024.3,1024.9,3.0,2.0,0.5,8.7,12.2,6.0,68.0,36.0,1.7,3.3,東,7.3,東南東,2.7,,,,
27,1013.5,1014.1,12.0,3.0,1.5,8.5,10.2,6.5,81.0,58.0,5.1,7.4,東北東,15.8,東北東,0.0,,,,
28,1008.5,1009.1,4.5,5.5,1.5,9.9,11.0,8.4,88.0,81.0,2.2,4.4,東,8.2,東北東,0.0,,,,
29,1009.8,1010.4,0.0,0.0,0.0,11.2,14.1,7.8,70.0,53.0,3.5,5.6,西南西,8.9,西南西,6.5,,,,
30,1008.9,1009.5,0.0,0.0,0.0,8.6,12.0,6.5,64.0,52.0,2.8,5.1,北西,8.6,北西,7.1,,,,
31,1015.5,1016.1,0.0,0.0,0.0,6.7,10.0,4.7,53.0,35.0,3.3,6.5,北西,11.2,西北西,5.5,,,,
