,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,4.4,11.6,0.1,1.7,3.9,北東,8.7,東,南東,7.1,,
2,0.0,0.0,0.0,4.2,12.6,-1.2,0.7,2.7,西,5.8,北東,東南東,7.1,,
3,0.0,0.0,0.0,6.0,13.0,1.3,0.9,2.7,西南西,5.5,北西,南東,7.0,,
4,0.0,0.0,0.0,8.0,12.8,3.1,1.6,4.0,東北東,10.8,東,北,6.2,,
5,0.0,0.0,0.0,6.8,10.4,1.4,2.0,4.4,北東,10.9,北北東,東北東,7.1,,
6,0.0,0.0,0.0,5.1,12.4,-0.8,0.7,3.5,南南西,6.1,南西,東南東,4.8,,
7,13.5,3.5,1.5,7.9,11.8,5.7,0.2,0.8,南西,2.7,東南東,東北東,0.0,,
8,42.5,19.0,7.5,13.9,17.6,10.5,2.2,5.1,南,14.0,東北東,南,3.6,,
9,0.0,0.0,0.0,10.7,14.7,8.6,1.2,3.3,北東,10.8,東北東,北北東,5.9,,
10,0.0,0.0,0.0,8.2,12.4,3.4,1.6,3.7,北東,8.0,北東,北北東,7.1,,
11,0.0,0.0,0.0,7.0,13.7,2.8,0.7,3.1,南西,5.4,南南西,東北東,6.4,,
12,1.5,1.0,0.5,7.4,10.6,4.5,0.4,1.7,北北東,3.6,北,東北東,0.1,,
13,0.0,0.0,0.0,5.4,11.7,1.0,1.1,3.3,北,7.9,北北東,東北東,7.1,,
14,5.0,2.0,1.0,3.9,8.1,-0.2,0.6,3.0,北北東,5.9,北北東,東南東,0.5,,
15,0.0,0.0,0.0,4.4,8.5,2.0,1.1,2.9,東南東,6.5,東南東,東,3.1,,
16,0.0,0.0,0.0,4.6,9.6,1.0,0.7,3.1,東南東,5.8,東,東,0.0,,
17,8.5,1.5,0.5,5.3,7.1,4.2,0.3,1.2,北東,2.9,北東,北東,0.0,,
18,0.0,0.0,0.0,5.7,12.0,1.8,1.1,3.1,北東,8.4,北北東,北北東,7.3,,
19,0.0,0.0,0.0,5.0,12.7,-0.5,0.8,2.5,南西,5.0,南西,東南東,6.9,,
20,0.0,0.0,0.0,6.4 ),12.5 ),1.3 ),1.1 ),2.9 ),東北東 ),8.3 ),北北東 ),西南西 ),6.1 ),,
21,0.0,0.0,0.0,6.9,11.6,1.6,1.6,4.6,東北東,10.7,北東,東,7.1,,
22,7.5,1.5,0.5,6.9,12.6,1.1,0.4,2.1,西,3.3,西,東,0.6,,
23,33.0,9.5,2.5,11.4,16.8,8.3,0.4,1.5,東,2.6,東,東北東,2.4,,
24,0.0,0.0,0.0,11.4,15.9,8.6,0.6,2.4,西北西,6.1,北北東,東北東,0.1,,
25,14.0,4.5,1.0,9.1,12.0,7.5,0.5,2.3,東,4.6,東,西,0.0,,
26,9.5,5.0,1.0,9.5,13.9,7.4,0.5,1.9,北東,3.6,南,北北東,2.3,,
27,20.0,3.5,1.5,11.1,15.6,6.6,2.3,4.5,北,14.2,北北西,北北東,0.0,,
28,7.0,6.0,2.0,12.4,15.7,10.4,0.9,3.1,北東,7.4,南,東北東,0.2,,
29,0.0,0.0,0.0,10.7,13.3,7.5,1.7,3.9,北東,9.7,東北東,北東,7.0,,
30,0.0,0.0,0.0,8.6,12.1,5.1,2.6,4.5,北東,11.2,東北東,東,7.3,,
31,0.0,0.0,0.0,5.8,8.1,4.4,2.8,6.0,北東,13.0,北東,北東,5.2,,
