,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,6.2,13.0,-0.2,2.0,4.5,北,7.5,北北西,西南西,9.6,,
2,0.0,0.0,0.0,6.3,14.2,-0.3,1.4,3.3,南西,5.4,南西,西南西,9.5,,
3,0.0,0.0,0.0,7.1,14.7,0.1,1.2,3.4,北,6.5,南,西,9.3,,
4,0.0,0.0,0.0,8.1,15.2,0.6,1.7,6.2,北西,10.3,北西,西,9.5,,
5,0.0,0.0,0.0,8.8,11.7,4.5,3.9,7.1,北北東,13.8,北,北,9.6,,
6,0.0,0.0,0.0,8.2,13.4,1.9,1.6,4.0,北,7.5,北北西,北,5.4,,
7,4.0,2.0,1.5,9.6,12.2,7.2,0.8,3.0,西南西,4.9,西南西,西南西,0.0,,
8,20.0,11.0,4.0,14.7,18.6,10.3,3.3,8.2,西南西,15.5,西南西,西南西,5.3,,
9,0.0,0.0,0.0,11.3,16.3,5.5,1.5,5.6,北,9.1,北,西,9.2,,
10,0.0,0.0,0.0,9.4,13.1,3.5,3.0,7.7,北北西,12.2,北東,北北東,9.4,,
11,0.0,0.0,0.0,8.2,14.8,2.0,1.2,3.1,南,5.5,南東,西南西,6.9,,
12,0.5,0.5,0.5,8.7,11.7,5.6,0.9,2.3,西南西,3.5,西南西,西南西,0.5,,
13,0.0,0.0,0.0,6.6,13.4,0.8,1.2,4.6,西南西,7.7,西南西,西南西,9.6,,
14,3.0,1.5,0.5,5.1,10.2,-0.1,1.2,3.9,北,5.5,北,北北西,1.4,,
15,0.0,0.0,0.0,5.7,11.2,1.1,1.9,6.4,北,10.7,北北西,北北西,8.9,,
16,0.0,0.0,0.0,6.1,10.4,1.4,1.1,3.4,北西,5.8,北西,西南西,1.1,,
17,2.5,1.0,0.5,7.3,9.7,5.0,1.2,4.1,北,7.5,北,北北東,0.0,,
18,0.0,0.0,0.0,9.4,13.8,2.6,2.9,6.9,北西,10.7,北北東,北,9.6,,
19,0.0,0.0,0.0,6.6,14.3,-0.4,0.9,3.3,南南東,5.7,西南西,西,8.5,,
20,0.0,0.0,0.0,6.7,13.9,0.6,1.7,6.3,南西,9.9,南西,北北西,9.4,,
21,0.0,0.0,0.0,6.9,12.6,0.7,2.5,6.9,北北西,11.5,北東,北,8.5,,
22,3.0,1.0,0.5,7.5,13.3,1.1,0.9,2.2,北北東,3.2,北東,西南西,0.4,,
23,18.0,6.0,2.0,13.3,20.2,9.1,1.1,3.1,南西,4.6,西南西,西,4.3,,
24,0.0,0.0,0.0,13.7,17.1,10.6,3.1,7.9,北,12.2,北,北,0.4,,
25,10.0,4.0,1.5,11.2,13.1,7.9,2.2,6.3,北,11.1,北,北,0.0,,
26,4.0,2.5,1.0,10.7,15.4,7.7,1.3,4.8,北,7.9,北,南西,2.1,,
27,24.5,4.0,1.5,10.8,17.0,7.6,2.5,9.2,東南東,18.3,東,西南西,0.0,,
28,9.5,5.5,1.5,13.7,16.7,12.3,1.9,5.5,南南東,9.1,南東,北,0.0,,
29,0.0,0.0,0.0,12.1,15.3,6.1,3.1,7.7,北北西,12.8,北北西,北,9.9,,
30,0.0,0.0,0.0,9.0,13.0,3.8,2.7,7.1,北北東,12.2,北東,北北東,9.6,,
31,0.0,0.0,0.0,7.1,9.7,3.1,4.3,8.6,北北西,15.2,北西,北北西,8.7,,
