,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,,,,,,,,,,,,
2,0.0,0.0,0.0,,,,,,,,,,,,
3,0.0,0.0,0.0,,,,,,,,,,,,
4,18.5,7.0,1.5,,,,,,,,,,,,
5,7.5,5.5,1.5,,,,,,,,,,,,
6,0.0,0.0,0.0,,,,,,,,,,,,
7,5.5,3.0,1.0,,,,,,,,,,,,
8,20.5,6.5,2.0,,,,,,,,,,,,
9,6.5,2.5,1.0,,,,,,,,,,,,
10,6.0,2.0,1.0,,,,,,,,,,,,
11,0.0,0.0,0.0,,,,,,,,,,,,
12,1.0,1.0,1.0,,,,,,,,,,,,
13,0.0,0.0,0.0,,,,,,,,,,,,
14,0.0,0.0,0.0,,,,,,,,,,,,
15,25.0,6.5,2.0,,,,,,,,,,,,
16,0.5,0.5,0.5,,,,,,,,,,,,
17,0.0,0.0,0.0,,,,,,,,,,,,
18,0.0,0.0,0.0,,,,,,,,,,,,
19,0.0,0.0,0.0,,,,,,,,,,,,
20,0.5,0.5,0.5,,,,,,,,,,,,
21,3.5,1.5,1.0,,,,,,,,,,,,
22,0.5,0.5,0.5,,,,,,,,,,,,
23,11.5,3.0,1.0,,,,,,,,,,,,
24,15.5,3.0,1.0,,,,,,,,,,,,
25,0.0,0.0,0.0,,,,,,,,,,,,
26,0.0,0.0,0.0,,,,,,,,,,,,
27,8.5,3.0,1.0,,,,,,,,,,,,
28,22.0,3.0,1.0,,,,,,,,,,,,
29,8.0,2.0,1.0,,,,,,,,,,,,
30,17.0,2.0,1.0,,,,,,,,,,,,
31,8.5,2.5,1.0,,,,,,,,,,,,
