,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,8.8,11.6,6.3,3.5,5.4,西北西,10.3,北西,西北西,9.8,,
2,0.0,0.0,0.0,11.3,14.1,8.9,3.1,5.6,西北西,11.2,西北西,北西,9.5,,
3,0.0,0.0,0.0,13.0,14.9,11.3,2.7,4.1,北西,9.1,北北西,北西,1.9,,
4,0.0,0.0,0.0,12.7,15.1,10.9,3.6,5.9,北西,14.4,西北西,北西,7.3,,
5,0.0,0.0,0.0,11.4,14.9,8.1,1.4,4.3,北西,10.2,北西,東北東,9.4,,
6,0.0,0.0,0.0,14.0,19.2,9.7,0.6,1.9,南南東,5.6,南東,南南東,7.6,,
7,0.0,0.0,0.0,17.9,21.1,15.5,2.6,5.0,南南西,11.0,南,南,4.5,,
8,12.0,12.0,8.0,15.3,20.1,11.9,7.3,10.4,西北西,20.7,西北西,西北西,3.4,,
9,0.0,0.0,0.0,12.5,15.1,10.9,4.6,6.6,西北西,13.4,西北西,西北西,9.4,,
10,0.0,0.0,0.0,12.8,16.1,10.7,2.5,5.2,西北西,10.2,西北西,北西,5.8,,
11,3.0,1.0,0.5,12.2,13.9,10.8,1.2,1.9,北西,4.2,北東,西北西,0.0,,
12,3.5,1.5,0.5,11.8,13.6,11.0,3.4,7.5,西北西,13.8,西北西,北西,0.0,,
13,0.0,0.0,0.0,11.0,13.9,8.1,3.2,6.9,西北西,13.2,北西,北西,3.7,,
14,11.0,4.5,2.5,11.7,16.2,8.2,2.2,5.3,西北西,10.3,西北西,西北西,2.0,,
15,0.0,0.5,0.0,9.9,11.9,7.8,2.6,4.4,北北西,11.4,北北西,北北西,4.6,,
16,6.5,3.5,1.5,11.6,15.0,8.6,1.0,3.0,西北西,5.8,北西,北東,0.0,,
17,8.0,2.5,1.0,10.8,11.9,9.2,1.8,3.7,北北西,9.3,北北東,北東,0.0,,
18,1.0,0.5,0.5,10.4,12.5,8.7,3.3,6.7,北西,13.3,西北西,北西,1.1,,
19,6.0,3.0,1.0,10.6,14.1,8.3,1.7,4.7,北西,9.2,西北西,北西,1.7,,
20,1.5,1.0,1.0,11.6,13.9,10.2,1.9,4.8,西北西,9.7,西北西,北西,0.0,,
21,0.0,0.0,0.0,11.7,15.4,9.9,2.2,6.7,西北西,11.6,北北西,北北西,9.2,,
22,0.0,0.0,0.0,14.9,17.5,11.1,2.0,4.4,南南西,9.3,南南西,南南西,0.8,,
23,27.5,13.0,5.0,17.7,21.0,16.4,3.1,6.6,南西,14.5,南西,西北西,1.0,,
24,4.0,2.0,1.0,15.7,16.8,14.4,1.1,2.2,西北西,8.2,東北東,東北東,0.0,,
25,9.5,2.0,1.0,15.6,16.8,14.0,1.5,2.4,東北東,8.4,東北東,東北東,0.0,,
26,31.0,5.0,2.0,15.0,16.2,13.0,2.3,4.6,東北東,11.6,東北東,東北東,0.0,,
27,146.0,30.5,9.0,17.6,23.3,14.7,4.6,8.9,西北西,17.8,北西,西北西,3.2,,
28,1.0,1.0,0.5,14.0,15.1,12.4,5.1,8.4,西北西,16.4,西北西,西北西,0.3,,
29,6.0,2.0,1.0,12.3,15.0,10.1,2.7,5.5,西北西,11.1,西北西,北西,2.7,,
30,28.5,8.0,5.5,9.5,12.7,7.0,4.2,7.2,西,15.1,西,西北西,3.4,,
31,0.5,0.5,0.5,9.6,12.5,7.7,2.9,4.7,北北西,11.6,北北西,北西,5.4,,
