,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,13.9,16.8,12.2,2.0,4.5,北北東,8.0,北東,北北西,3.2,,
2,0.0,0.0,0.0,14.8,18.7,11.9,2.1,4.4,北北東,7.5,北北東,北北西,8.0,,
3,0.0,0.0,0.0,15.6,19.2,11.9,1.7,2.8,東,4.8,東,北西,6.3,,
4,0.5,0.5,0.5,16.3,20.0,13.9,1.9,4.7,北西,8.7,北北西,北北西,3.5,,
5,0.0,0.0,0.0,16.8,19.8,13.2,2.8,4.6,北東,8.3,北北東,北北東,9.2,,
6,0.0,0.0,0.0,18.3,21.0,16.1,3.2,4.6,南東,8.1,南東,東南東,8.6,,
7,0.0,0.0,0.0,20.3,23.0,18.0,4.3,5.9,南,11.5,南,南東,7.5,,
8,3.0,2.5,2.0,17.3,21.2,14.0,3.4,7.3,西北西,18.8,西,北西,3.6,,
9,0.0,0.0,0.0,15.4,18.1,14.1,1.4,3.9,北西,7.7,北西,北北西,0.7,,
10,0.0,0.0,0.0,15.3,17.7,12.8,1.6,3.8,北北東,6.5,北北東,北北東,1.0,,
11,3.5,2.0,1.0,17.4,19.8,14.6,1.3,3.0,南南西,5.2,南,南南西,0.4,,
12,0.0,0.0,0.0,16.2,19.4,11.8,2.8,4.8,北北西,10.1,北北西,北北西,1.1,,
13,0.0,0.0,0.0,14.4,16.9,11.8,2.2,4.1,北北東,7.4,北東,北,0.7,,
14,0.5,0.5,0.5,16.3,20.1,13.4,2.5,4.8,北北東,9.2,北北東,北,7.9,,
15,0.0,0.0,0.0,15.5,18.8,12.2,2.7,6.0,北東,10.2,北東,北東,5.4,,
16,8.0,2.5,1.0,17.0,20.1,14.2,3.1,4.8,東南東,8.9,東,東,1.6,,
17,32.0,9.5,3.5,16.4,18.7,13.6,3.5,7.3,北北東,12.3,北東,北北西,2.1,,
18,0.0,0.0,0.0,14.3,17.1,13.2,2.8,4.9,北西,11.2,北西,北西,1.2,,
19,0.5,0.5,0.5,14.7,18.4,12.5,1.9,3.5,西,7.0,北北西,北北西,3.1,,
20,0.0,0.0,0.0,14.6,17.5,12.1,1.4,2.8,北西,5.0,北北西,北北西,1.8,,
21,0.0,0.0,0.0,14.7,17.9,11.0,2.1,4.2,北北東,7.4,北,北北西,2.2,,
22,0.0,0.0,0.0,17.8,21.0,13.3,2.6,4.1,南,7.0,南南東,南南東,6.9,,
23,0.0,0.0,0.0,20.5,24.4,17.4,2.2,4.0,南南東,7.5,南南西,南南西,7.8,,
24,0.0,0.0,0.0,20.1,23.9,16.9,1.4,2.9,南南西,5.0,南,南南西,8.7,,
25,0.0,0.0,0.0,20.8,23.4,18.2,1.8,3.3,東北東,5.6,東北東,東,7.4,,
26,31.5,11.5,5.5,20.1,21.4,17.9,3.5,7.0,東南東,12.2,南東,東,0.0,,
27,14.5,11.5,5.0,19.7,21.6,16.9,4.6,8.8,西,15.8,西,西北西,4.7,,
28,1.0,0.5,0.5,15.8,18.2,14.5,2.5,4.8,北西,9.4,北北西,北西,1.2,,
29,0.0,0.0,0.0,15.2,18.2,13.6,3.1,5.0,西北西,10.1,北北西,西北西,3.3,,
30,2.0,1.0,1.0,12.4,15.3,9.9,4.9,8.2,西北西,16.3,西北西,西北西,4.1,,
31,3.5,2.5,1.5,12.5,15.8,9.4,3.0,5.3,北北西,10.4,北北西,北西,5.0,,
