,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,5.5,15.0,-0.5,1.3,4.3,西北西,9.4,西北西,南西,8.5,,
2,0.0,0.0,0.0,7.8,16.4,-1.7,2.4,6.8,西北西,10.9,北西,西北西,8.5,,
3,0.0,0.0,0.0,11.4,15.8,4.6,3.3,7.5,西,15.1,西,西北西,4.1,,
4,0.0,0.0,0.0,10.0,15.9,2.6,2.4,5.1,西北西,11.1,北西,西,8.5,,
5,0.0,0.0,0.0,7.1,15.6,0.0,1.5,4.5,東南東,7.8,東南東,南南西,8.6,,
6,0.0,0.0,0.0,9.1,17.8,2.8,1.2,3.3,東北東,4.8,東,南西,6.2,,
7,0.0,0.0,0.0,16.4,22.7,7.7,1.7,5.8,南西,13.5,南西,南西,2.7,,
8,9.0,5.5,2.0,14.9,20.9,9.9,7.4,13.2,西北西,24.4,西,西北西,6.3,,
9,0.0,0.0,0.0,11.2,17.9,5.0,2.4,4.8,西,9.4,西北西,西北西,8.0,,
10,0.0,0.0,0.0,10.3,16.8,4.7,1.3,4.4,西北西,8.4,北西,南南西,7.4,,
11,0.5,0.5,0.5,9.9,15.1,5.3,0.8,3.4,東,5.3,東,南西,1.3,,
12,1.0,0.5,0.5,10.5,14.3,8.9,3.5,8.9,西北西,18.9,西北西,西北西,2.4,,
13,0.0,0.0,0.0,9.1,14.8,2.1,2.7,7.6,西北西,15.0,西北西,西北西,8.1,,
14,1.5,0.5,0.5,8.1,13.2,2.0,1.2,4.5,北,9.3,西,南南西,0.4,,
15,0.5,0.5,0.5,7.4,12.7,0.8,2.0,4.8,北,10.2,西南西,北西,7.0,,
16,3.5 ),1.5 ),0.5 ),8.5 ),14.4 ),4.8 ),0.8 ),2.8 ),東南東 ),4.6 ),東 ),南西 ),0.0 ],,
17,5.5,1.5,0.5,7.9,10.4,2.6,1.0,3.4,北西,7.3,北北西,西,0.0,,
18,0.0,0.0,0.0,6.8,13.1,1.4,1.9,5.7,西,12.4,西,西北西,4.4,,
19,0.0,0.0,0.0,7.2,15.8,0.5,1.5,5.8,西北西,11.5,西,西北西,3.3,,
20,0.0,0.0,0.0,8.0,15.0,2.9,1.3,4.2,西北西,10.1,南西,南西,3.1,,
21,0.0,0.0,0.0,8.5,15.5,2.3,2.0,5.8,西北西,11.1,西北西,西北西,8.7,,
22,0.0,0.0,0.0,10.1,14.8,3.3,0.6,1.6,西南西,2.4,南西,西,0.0,,
23,9.0,3.5,1.5,17.0,21.0,11.1,1.6,5.3,西南西,11.0,西,西,0.4,,
24,0.5,0.5,0.5,14.7,17.5,13.0,0.8,2.9,南,4.8,東,西,0.0,,
25,21.5,6.0,2.0,12.7,13.8,10.7,1.2,4.6,北東,9.4,東北東,南南西,0.0,,
26,12.5,3.0,1.0,12.0,13.5,10.4,1.9,5.7,東北東,13.6,東北東,東北東,0.0,,
27,79.5,13.0,4.5,15.9,20.5,12.5,5.3,11.3,西北西,24.5,西北西,北東,0.6,,
28,0.0,0.0,0.0,12.8,17.2,5.8,2.6,8.1,西北西,15.9,西北西,西北西,2.1,,
29,0.0,0.0,0.0,11.1,18.2,4.7,2.0,5.0,西南西,8.4,西,西,8.1,,
30,1.5,1.5,1.0,9.7,15.2,4.2,2.1,5.3,西,10.0,西北西,西北西,4.4,,
31,0.0,0.0,0.0,8.1,14.7,1.4,2.0,5.4,北西,11.0,北北西,北北西,7.2,,
