,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,15.2,16.8,13.4,6.4,9.4,北北西,13.4,北,北北西,,,
2,0.0,0.0,0.0,16.7,18.7,15.4,4.8,7.2,北北西,10.3,北北西,北北西,,,
3,0.0,0.0,0.0,17.7,20.0,15.6,4.4,7.3,西北西,9.8,西北西,北,,,
4,0.5,0.5,0.5,18.0,19.3,16.2,6.9,9.3,北西,12.9,北西,北北西,,,
5,0.0,0.0,0.0,16.9,19.6,12.5,4.8,7.6,北,12.3,北北東,北,,,
6,0.0,0.0,0.0,17.0,21.5,11.4,2.3,4.2,南東,7.2,南東,南東,,,
7,0.0,0.0,0.0,19.8,22.7,16.2,3.6,5.5,南南東,9.8,南南東,南南東,,,
8,6.0,6.0,4.5,18.5,21.8,16.3,8.8,12.7,北西,18.0,北西,北西,,,
9,0.0,0.0,0.0,17.0,18.4,16.3,5.8,9.5,北北西,13.4,北西,北北西,,,
10,0.0,0.0,0.0,17.4,18.8,16.3,4.1,6.8,北北東,8.7,北,北北東,,,
11,6.0,4.0,1.5,16.3,18.7,13.2,1.9,4.9,北東,6.7,北東,南東,,,
12,0.0,0.0,0.0,17.7,20.1,16.3,7.6,11.0,北西,14.9,北西,北北西,,,
13,0.0,0.0,0.0,16.0,18.3,11.9,5.5,8.9,北北東,12.3,北北東,北北東,,,
14,1.5,1.5,1.0,16.6,20.8,10.8,3.7,8.8,北北西,11.8,北西,北北西,,,
15,0.0,0.0,0.0,16.5,18.9,15.5,5.5,8.6,北北西,11.8,北北西,北北東,,,
16,6.5,2.0,0.5,15.9,19.9,11.4,2.3,4.8,北北東,7.2,北北東,東南東,,,
17,12.5,11.0,5.5,16.9,18.6,15.0,6.7,11.9,北北西,14.9,北北西,北北西,,,
18,0.0,0.0,0.0,15.6,17.7,14.2,9.2,11.2,北西,14.9,北西,北西,,,
19,0.0,0.0,0.0,15.6,17.0,13.9,4.5,7.3,西北西,10.3,西,西北西,,,
20,0.0,0.0,0.0,16.8,19.1,15.8,6.0,8.0,西北西,10.3,北西,北西,,,
21,0.0,0.0,0.0,15.9,18.8,10.5,4.2,7.1,北北西,10.3,北北西,北,,,
22,0.0,0.0,0.0,16.1,21.3,8.7,2.5,4.6,南,7.2,南,南,,,
23,0.0,0.0,0.0,20.9,23.8,19.0,3.7,6.0,南南西,9.8,南,南南西,,,
24,0.0,0.0,0.0,21.1,24.1,18.8,2.7,4.8,南西,7.7,南西,南南西,,,
25,0.0,0.0,0.0,20.8,24.8,16.4,1.8,4.1,南南東,6.7,南南東,南南東,,,
26,62.5,27.5,10.5,19.5,22.2,18.1,3.6,7.2,東,11.8,南東,東,,,
27,40.5,28.5,6.0,21.0,24.2,18.5,7.6,12.6,西北西,15.9,西北西,西北西,,,
28,0.0,0.0,0.0,17.4,19.2,14.8,7.6,9.3,西北西,13.4,西,北西,,,
29,0.0,0.0,0.0,16.6,18.9,14.9,8.6,11.5,西北西,15.9,西北西,西北西,,,
30,8.5,5.0,3.5,14.1,16.3,10.3,11.6,16.1,西北西,21.6,西北西,西北西,,,
31,9.5,4.0,2.5,14.3,15.9,10.8,9.1,14.1,北西,19.5,北西,北西,,,
