,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,3.7,11.7,-2.4,1.3,4.0,西北西,7.4,西北西,北北東,9.3,,
2,0.0,0.0,0.0,5.0,13.5,-1.2,1.5,4.6,西北西,7.8,北西,北北東,8.5,,
3,0.0,0.0,0.0,5.0,12.7,1.4,1.1,4.1,北西,7.4,西,北北東,1.0,,
4,0.0,0.0,0.0,6.2,13.9,0.3,1.7,4.9,北西,9.0,北西,北北東,6.9,,
5,0.0,0.0,0.0,6.2,15.9,-0.6,1.0,2.6,北西,4.2,北西,北北東,9.0,,
6,0.0,0.0,0.0,9.8,16.1,2.0,1.0,3.5,東北東,5.4,東北東,北北東,1.4,,
7,2.5,2.0,1.0,17.1,20.7,13.4,2.5,5.5,南,9.4,南南西,南,0.4,,
8,11.5,9.0,6.0,13.7,19.8,9.5,5.1,8.2,西北西,15.2,西,西北西,2.0,,
9,0.0,0.0,0.0,10.2,14.4,6.4,1.9,5.0,西北西,8.6,西,北北東,8.4,,
10,0.0,0.0,0.0,8.6,15.3,3.7,1.0,3.3,西,6.4,西南西,北北東,9.3,,
11,0.0,0.0,0.0,9.3,16.6,4.3,0.9,3.1,北西,4.8,北西,北北東,4.1,,
12,0.0,0.0,0.0,8.8,11.2,5.9,1.2,5.6,北西,9.7,北北西,北,0.1,,
13,0.0,0.0,0.0,8.1,12.6,4.0,1.7,5.2,北西,9.3,北西,北,4.1,,
14,1.5,0.5,0.5,5.2,7.6,2.1,0.7,3.9,西北西,8.9,西北西,北北東,0.0,,
15,0.0,0.0,0.0,5.0,10.5,0.9,0.8,2.7,北西,6.4,北西,北北東,0.2,,
16,3.5,1.0,0.5,6.4,9.8,3.9,0.5,1.9,北東,3.1,北,北北東,0.0,,
17,2.0,0.5,0.5,6.9,11.3,3.3,0.6,2.1,北北東,3.5,西北西,北北東,2.0,,
18,0.0,0.0,0.0,6.0,11.9,1.4,1.5,5.5,北西,10.5,北西,北北東,2.4,,
19,1.5,0.5,0.5,5.7,10.7,1.5,0.6,2.1,北北東,3.6,北北東,北北東,0.6,,
20,0.0,0.0,0.0,7.7,11.0,5.6,0.6,1.9,北西,3.6,北北東,北北東,0.5,,
21,0.0,0.0,0.0,7.0,14.6,1.5,1.6,3.0,西,4.8,西,北北東,9.6,,
22,0.0,0.0,0.0,9.4,15.0,2.3,1.0,4.0,北東,6.9,東北東,北北東,0.0,,
23,21.5,11.5,5.0,15.8,19.3,12.1,1.6,5.6,南南西,9.9,南,北北東,1.4,,
24,0.0,0.0,0.0,13.8,19.2,11.5,0.8,2.4,西南西,4.1,西南西,北北東,1.1,,
25,15.5,7.5,4.5,12.9,14.8,10.2,1.2,3.8,東北東,7.0,北,北東,0.0,,
26,6.0,1.5,0.5,12.1,13.9,10.3,1.9,6.9,東北東,10.3,東,東北東,0.0,,
27,25.5,10.5,8.0,14.4,20.8,11.5,7.6,16.9,東,29.0,東北東,東,2.8,,
28,0.0,0.0,0.0,11.1,15.6,6.7,1.6,4.6,西北西,7.9,北西,北西,4.0,,
29,3.5,1.0,0.5,9.1,15.1,4.1,1.2,4.3,西北西,6.8,北西,北西,5.8,,
30,6.5,3.0,1.0,8.4,13.0,4.4,1.4,4.2,北西,7.6,北北西,北北西,4.5,,
31,0.0,0.0,0.0,6.1,11.9,1.5,1.3,4.1,北西,8.2,北北東,北北東,5.4,,
