,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1023.0,1027.6,,,,11.0,13.5,9.1,64.0,38.0,4.6,6.6,西北西,9.1,西,9.6,,,,
2,1021.8,1026.4,,,,13.0,14.5,11.2,61.0,49.0,6.5,10.2,北西,13.7,北西,9.1,,,,
3,1018.9,1023.4,,,,14.3,16.0,13.2,68.0,62.0,9.3,12.8,北西,16.0,北北西,6.0,,,,
4,1016.7,1021.2,,,,13.8,15.1,12.8,62.0,50.0,9.6,13.7,北西,17.6,北西,8.8,,,,
5,1021.7,1026.3,,,,11.7,15.6,7.9,65.0,44.0,4.3,11.2,北西,13.8,北西,9.2,,,,
6,1021.8,1026.4,,,,13.1,18.4,8.0,76.0,54.0,3.0,4.7,東北東,7.9,東北東,5.1,,,,
7,1015.7,1020.2,,,,18.6,21.5,10.8,70.0,55.0,5.6,9.8,南,16.1,南南東,7.1,,,,
8,1010.3,1014.7,9.5,7.5,6.0,16.5,20.8,13.0,72.0,59.0,14.1,18.7,西北西,26.9,西,2.2,,,,
9,1014.1,1018.7,,,,13.6,15.7,11.9,66.0,45.0,8.8,13.3,北西,17.1,北北西,9.3,,,,
10,1013.6,1018.1,,,,13.6,17.3,10.1,66.0,41.0,4.4,10.8,北西,13.8,北西,6.9,,,,
11,1011.3,1015.9,3.5,1.5,0.5,12.9,15.3,10.0,83.0,64.0,2.0,4.6,北北西,7.2,北北西,0.6,,,,
12,1009.6,1014.1,2.5,1.0,0.5,13.3,14.4,12.1,71.0,56.0,9.7,16.0,北西,21.4,西北西,0.4,,,,
13,1015.5,1020.1,,,,12.1,13.8,10.9,61.0,54.0,9.0,12.9,北北西,16.6,北北西,5.8,,,,
14,1016.1,1020.7,3.0,1.0,0.5,12.6,15.3,8.1,78.0,63.0,4.9,11.6,北北西,15.3,北北西,1.3,,,,
15,1018.9,1023.5,,0.0,,11.3,12.8,9.8,61.0,51.0,8.0,12.9,北北西,15.9,北北西,4.6,,,,
16,1016.5,1021.1,2.5,1.0,0.5,11.9,15.0,8.2,83.0,53.0,2.8,5.1,北東,9.3,東北東,0.4,,,,
17,1011.2,1015.7,9.5,4.0,1.5,12.2,13.0,11.3,81.0,37.0,5.4,10.6,北西,13.6,北北西,0.0,,,,
18,1011.1,1015.6,,,,12.1,13.3,11.4,61.0,47.0,10.0,13.3,北西,17.7,北西,1.9,,,,
19,1013.8,1018.3,0.5,0.5,0.5,12.9,14.3,11.7,68.0,57.0,6.8,12.9,北北西,16.3,北北西,1.8,,,,
20,1016.0,1020.5,0.0,0.0,0.0,13.4,14.5,12.6,66.0,56.0,7.7,10.8,北北西,14.5,北北西,0.0,,,,
21,1021.0,1025.6,,,,12.2,16.0,8.1,65.0,40.0,4.8,11.7,北西,15.0,北北西,9.9,,,,
22,1020.0,1024.5,,,,15.6,18.8,9.1,71.0,63.0,3.8,7.1,南南東,11.0,南南東,0.7,,,,
23,1015.3,1019.8,16.0,7.0,2.5,18.5,20.3,17.4,87.0,70.0,5.7,8.9,南,15.7,南,0.0,,,,
24,1017.9,1022.4,6.5,3.5,1.0,16.9,18.7,15.6,88.0,73.0,3.1,6.1,東北東,9.7,東北東,0.0,,,,
25,1017.6,1022.1,2.0,0.5,0.5,15.7,16.7,13.8,90.0,74.0,6.2,9.5,東北東,17.8,北東,0.0,,,,
26,1013.2,1017.7,21.5,6.0,2.0,15.0,17.0,13.4,95.0,90.0,8.1,14.9,東北東,22.7,東北東,0.0,,,,
27,1000.0,1004.4,61.5,14.0,3.5,18.1,21.3,16.0,89.0,68.0,10.6,17.8,南西,24.5,西南西,2.7,,,,
28,1005.9,1010.4,0.0,0.0,0.0,15.5,16.4,14.3,68.0,58.0,11.1,14.3,西北西,19.5,西北西,1.3,,,,
29,1007.2,1011.7,1.5,1.0,1.0,14.1,16.6,12.3,64.0,51.0,7.1,12.4,北西,15.9,西北西,2.6,,,,
30,1004.5,1009.0,21.0,7.5,4.5,11.4,13.3,9.2,75.0,59.0,8.6,13.2,北西,18.8,北西,1.2,,,,
31,1011.4,1015.9,,,,11.6,13.6,10.1,57.0,46.0,8.0,13.2,北西,16.2,北北西,7.8,,,,
