,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1024.2,1029.5,,,,5.2,9.7,0.4,65.0,53.0,3.3,4.7,東北東,7.7,北東,9.2,,,,
2,1022.6,1027.8,,,,8.4,12.3,5.0,70.0,56.0,2.9,4.3,北東,6.7,北,7.4,,,,
3,1019.5,1024.7,0.0,0.0,0.0,9.4,12.7,7.0,74.0,59.0,2.6,4.2,北,7.3,北,1.4,,,,
4,1017.5,1022.6,0.0,0.0,0.0,9.6,13.8,6.2,65.0,44.0,3.2,4.8,北西,9.1,北西,9.0,,,,
5,1022.0,1027.2,,,,9.3,13.6,5.7,58.0,39.0,3.5,6.4,北北東,9.7,北北東,9.5,,,,
6,1020.9,1026.0,,,,12.4,16.7,5.7,65.0,49.0,2.0,4.3,東北東,9.2,南,0.7,,,,
7,1013.4,1018.4,6.0,6.0,4.5,18.3,21.2,15.2,69.0,58.0,3.7,8.3,南,15.9,南南東,3.2,,,,
8,1011.2,1016.3,7.5,7.0,6.5,13.8,19.4,9.6,66.0,52.0,7.6,12.6,西,23.3,西南西,1.8,,,,
9,1014.9,1020.0,,,,11.0,14.6,9.2,64.0,52.0,2.8,5.2,西北西,9.1,北西,5.7,,,,
10,1014.1,1019.3,,,,9.8,13.3,7.0,59.0,41.0,3.2,6.7,北東,10.5,北東,9.4,,,,
11,1011.6,1016.7,0.0,0.0,0.0,10.6,14.4,7.3,61.0,44.0,2.7,5.1,東北東,7.6,東北東,4.2,,,,
12,1010.5,1015.6,0.0,0.0,0.0,9.9,11.1,8.0,64.0,52.0,3.4,7.3,北西,13.3,北西,0.0,,,,
13,1016.1,1021.2,,,,9.3,12.0,6.5,55.0,45.0,3.4,5.1,北,9.4,北,2.4,,,,
14,1016.7,1021.9,1.5,1.0,0.5,7.0,7.9,5.7,77.0,59.0,3.0,4.4,北北東,7.8,東,0.0,,,,
15,1019.5,1024.8,,,,7.2,10.5,4.9,64.0,49.0,3.2,5.3,北北東,8.3,北,1.0,,,,
16,1017.7,1022.9,2.0,1.5,0.5,7.2,9.7,5.7,70.0,51.0,3.0,5.6,北東,8.3,北東,0.1,,,,
17,1012.4,1017.5,0.0,0.0,0.0,8.1,11.6,6.1,72.0,41.0,2.6,4.0,北東,6.5,東北東,2.9,,,,
18,1011.5,1016.6,0.5,0.5,0.5,9.1,12.3,5.6,68.0,37.0,3.1,6.2,北西,10.7,西北西,2.9,,,,
19,1014.0,1019.1,2.0,1.5,0.5,8.1,10.3,4.8,83.0,70.0,2.4,4.0,東北東,6.0,北,0.0,,,,
20,1016.3,1021.5,0.0,0.0,0.0,9.6,10.7,7.9,66.0,53.0,3.1,4.7,北北東,8.0,北東,0.0,,,,
21,1021.4,1026.6,,,,8.9,12.7,6.4,59.0,35.0,3.3,6.1,北北東,11.0,北,9.4,,,,
22,1018.8,1024.0,0.0,0.0,0.0,11.8,17.1,5.6,75.0,66.0,2.0,4.9,南南東,10.0,南,0.1,,,,
23,1014.5,1019.5,24.5,18.5,11.5,16.8,19.3,13.6,87.0,73.0,2.3,6.1,南,12.2,南,2.2,,,,
24,1018.3,1023.4,0.0,0.0,0.0,14.0,16.8,12.2,83.0,67.0,3.3,5.6,北東,10.4,北東,1.1,,,,
25,1018.4,1023.5,25.5,11.5,5.5,11.9,14.5,9.6,89.0,77.0,4.1,7.6,北東,12.4,北東,0.0,,,,
26,1014.1,1019.2,6.0,1.5,0.5,10.8,12.5,9.6,92.0,81.0,4.6,7.7,北東,13.1,北東,0.0,,,,
27,999.1 ),1004.1 ),22.5 ),15.0 ),13.0 ),14.0 ),23.5,9.9,79 ),53.0,4.8 ),14.2,西,24.4,西,2.6 ),,,,
28,1006.4,1011.5,0.0,0.0,0.0,12.1,15.4,9.1,72.0,55.0,2.6,5.0,北,8.0,北,5.8,,,,
29,1007.5,1012.6,2.0,1.5,1.5,10.3,14.6,7.7,77.0,53.0,2.0,3.7,北,6.0,北東,3.0,,,,
30,1005.0,1010.1,5.0,1.5,1.5,8.8,12.6,6.7,79.0,55.0,3.2,6.7,北,10.6,北,4.8,,,,
31,1012.1,1017.2,,,,8.1,11.5,5.6,67.0,54.0,3.0,4.8,北東,7.7,北東,4.0,,,,
