,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1024.8,1028.7,,,,6.4,13.9,0.9,62.0,33.0,3.3,6.2,西北西,8.9,西北西,9.7,,,快晴,快晴
2,1023.4,1027.3,,,,8.8,15.6,3.1,71.0,43.0,3.6,6.2,北北西,10.0,北北西,9.6,,,快晴,晴
3,1020.5,1024.4,,,,8.9,14.0,5.3,79.0,62.0,2.7,5.5,北西,9.6,北西,2.6,,,晴時々曇,晴
4,1018.1,1022.0,,,,9.8,16.2,4.5,66.0,35.0,3.8,7.6,北北西,11.6,北西,9.4,,,快晴,快晴
5,1023.0,1026.9,,,,9.5,14.9,5.0,61.0,36.0,2.5,5.4,北西,8.3,西北西,9.7,,,晴,晴
6,1022.8,1026.7,,,,11.6,17.0,6.3,74.0,50.0,2.0,4.1,北,5.4,北,3.6,,,曇時々晴,晴後曇
7,1015.8,1019.5,2.5,2.5,1.5,16.9,20.7,12.6,79.0,64.0,3.4,8.4,南南東,11.5,南南東,0.7,,,曇,雨時々曇
8,1011.5,1015.3,13.5,7.5,2.5,14.8,20.5,10.4,66.0,52.0,6.9,11.8,西北西,19.8,西北西,3.7,,,晴一時雨,晴一時曇
9,1015.5,1019.4,,,,11.3,17.2,8.0,66.0,43.0,3.1,7.6,西北西,10.4,西北西,8.2,,,晴,曇時々晴
10,1014.8,1018.6,0.0,0.0,0.0,11.7,16.5,7.5,58.0,24.0,2.8,5.0,西北西,6.8,北北西,9.5,,,晴,曇時々晴
11,1012.3,1016.2,0.0,0.0,0.0,12.2,17.2,8.6,63.0,38.0,2.7,4.4,北北西,5.2,東北東,3.7,,,曇時々晴,雨一時曇
12,1011.2,1015.0,0.5,0.5,0.5,10.1,11.7,7.9,72.0,59.0,3.2,7.6,北北西,11.5,北北西,0.1,,,曇時々雨,晴
13,1016.8,1020.7,,,,9.1,14.7,5.2,61.0,43.0,3.3,7.5,北北西,11.9,西北西,8.3,,,晴,晴
14,1017.7,1021.6,2.5,1.5,0.5,7.6,9.6,4.6,83.0,72.0,2.9,5.2,北北西,9.2,北北西,0.0,,,雨一時曇,晴時々曇
15,1020.5,1024.4,,,,7.9,13.3,4.0,64.0,45.0,3.5,6.4,北西,10.1,北西,4.5,,,晴時々曇,曇
16,1018.3,1022.2,7.0,2.0,0.5,8.8,12.2,6.4,76.0,60.0,3.1,4.5,北北西,6.0,北北東,0.2,,,曇後雨,雨
17,1013.0,1016.9,5.5,1.5,0.5,9.0,11.6,7.1,84.0,65.0,3.2,5.2,北北西,7.7,北,1.4,,,曇時々雨一時晴,晴時々曇
18,1012.4,1016.3,0.0,0.0,0.0,8.7,13.8,6.0,72.0,41.0,3.0,7.2,北西,12.1,北北西,3.4,,,晴時々曇一時雨,晴
19,1015.0,1018.9,0.0,0.0,0.0,8.5,13.4,4.1,82.0,64.0,2.6,5.4,北北西,8.3,北,1.1,,,曇時々雨,曇一時晴
20,1017.2,1021.0,0.0,0.0,0.0,10.0,13.4,8.0,73.0,59.0,2.5,4.5,北北西,6.9,北西,0.5,,,曇一時晴,晴時々曇
21,1022.3,1026.2,,,,9.6,15.2,4.6,65.0,34.0,2.9,4.9,北,7.1,北,9.7,,,快晴,晴
22,1020.9,1024.7,0.0,0.0,0.0,11.7,15.4,6.7,82.0,67.0,2.0,4.2,北北西,5.0,北,0.5,,,曇一時晴,曇時々雨
23,1015.8,1019.6,14.5,9.5,7.0,17.2,20.5,13.4,88.0,68.0,2.5,5.4,西北西,9.0,西北西,0.3,,,曇一時雨,曇時々雨
24,1018.9,1022.7,0.5,0.5,0.5,15.8,18.1,13.8,84.0,72.0,2.3,4.7,北北東,8.0,北北東,0.2,,,曇一時雨,曇
25,1019.0,1022.8,10.5,3.5,1.0,14.4,15.9,12.6,82.0,71.0,3.8,8.8,北東,13.8,北東,0.0,,,曇後雨,曇時々雨
26,1015.0,1018.8,6.0,2.0,0.5,13.5,14.8,12.3,79.0,73.0,5.0,11.8,北北東,19.2,北北東,0.0,,,曇後一時雨,雨一時曇
27,1001.2,1004.9,20.5,9.5,2.5,15.7,21.7,12.7,77.0,67.0,5.7,12.7,東,22.8,東,1.8,,,曇時々雨一時晴,晴時々曇
28,1007.1,1010.9,0.5,0.5,0.5,13.2,17.7,9.8,72.0,51.0,3.4,7.8,北北西,11.3,北北西,3.2,,,曇時々晴一時雨,晴
29,1008.3,1012.1,0.5,0.5,0.5,11.9,17.7,7.8,70.0,36.0,3.2,6.6,西,9.9,西,6.8,,,晴後薄曇,曇時々雨
30,1005.7,1009.5,2.0,1.0,0.5,10.2,14.4,7.7,75.0,54.0,3.1,7.2,北西,10.1,北西,5.6,,,晴時々雨,快晴
31,1012.8,1016.7,,,,9.0,14.4,4.6,63.0,43.0,3.4,6.8,北西,12.2,北北西,7.4,,,晴,晴
