,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大日降水量 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),日平均気温,日最高気温,日最低気温,最高気温,最低気温,平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),全天日射量 (MJ/M**2),降雪合計 (cm),降雪の日合計の最大 (cm),最深積雪,雲量,雪日数,霧日数,雷日数
1910,　,1012.1 ],1431.4 ],141.4 ],　,　,15.9 ],20.2 ],12.0 ],29.9 ],-5.8 ],85 ],　,　,　,,　,,927.4 ],　,　,　,　,　,　,　,　
1911,　,1014.3,1869.5,105.4,　,　,13.1,18.0,8.7,34.2,-6.1,83.0,　,　,　,,　,,1943.6,　,　,　,　,　,　,　,　
1912,　,1013.6,1597.3,127.9,　,　,12.5,17.3,8.0,32.9,-6.6,84.0,　,　,　,,　,,2065.2,　,　,　,　,　,　,　,　
1913,　,1013.1,1505.1,102.5,　,　,11.8,16.8,7.1,30.5,-6.7,83.0,　,　,　,,　,,1996.8,　,　,　,　,　,　,　,　
1914,　,1013.8,1332.2,123.3,　,　,12.9,17.9,8.2,33.1,-6.3,82.0,　,　,　,,　,,2109.9,　,　,　,　,　,　,　,　
1915,　,1013.7,1470.8,106.1,　,　,12.4,17.0,7.9,31.0,-6.6,81.0,　,　,　,,　,,1867.8,　,　,　,　,　,　,　,　
1916,　,1014.3,1865.3,111.7,　,　,13.0,17.5,8.2,29.7,-5.6,79.0,　,　,　,,　,,1901.0,　,　,　,　,　,　,　,　
1917,　,1012.2,1536.5,119.4,　,　,11.9,16.7,6.7,31.3,-8.1,82.0,　,　,　,,　,,2023.6,　,　,　,13 ],　,　,　,　
1918,　,1014.3,1359.7,52.3,　,　,11.8,16.5,7.9,33.2,-7.3,85.0,　,　,　,,　,,2038.5,　,　,　,6 ],　,　,　,　
1919,　,1013.8,1544.1,195.8,　,　,12.5,17.2,8.6,32.8,-6.5,83.0,　,　,　,,　,,2027.4,　,　,　,　,　,　,　,　
1920,　,1015.1,1965.9,140.0,　,　,12.7,17.1,8.6,31.2,-5.6,79.0,　,　,　,,　,,2219.3,　,　,　,　,　,　,　,　
1921,　,1014.1,1475.6,92.1,　,　,12.7,17.2,8.2,31.8,-7.1,76.0,　,　,　,,　,,2164.4,　,　,　,5 ],　,　,　,　
1922,　,1014.3,1530.3,92.5,　,　,12.9,17.5,8.3,32.3,-8.6,76.0,　,　,　,,　,,2366.4,　,　,　,　,　,　,　,　
1923,　,1014.2,1600.8,122.3,　,　,12.1,16.5,8.2,33.9,-7.4,78.0,　,　,　,,　,,1959.9,　,　,　,6 ],　,　,　,　
1924,　,1014.1,1453.8,152.4,　,　,12.3,16.8,8.1,33.6,-7.4,74.0,　,　,　,,　,,2221.6,　,　,　,　,　,　,　,　
1925,　,1014.4,1573.1,86.5,　,　,12.4,16.8,8.4,31.7,-6.5,75.0,　,　,　,,　,,2194.9,　,　,　,17 ],　,　,　,　
1926,　,1013.8,946.1,68.0,　,　,11.5,16.0,7.1,32.1,-6.6,73.0,　,　,　,,　,,2313.4,　,　,　,　,　,　,　,　
1927,　,1014.0,1533.2,86.0,　,　,12.0,16.3,7.9,30.9,-9.3,76.0,　,　,　,,　,,2199.5,　,　,　,16 ],　,　,　,　
1928,　,1015.1,1463.0,96.2,　,　,12.2,16.4,8.3,29.7,-7.2,76.0,　,　,　,,　,,2102.1,　,　,　,　,　,　,　,　
1929,　,1014.3,1797.2,225.7,　,　,12.1,16.4,8.1,34.1,-6.9,75.0,　,　,　,,　,,2245.0,　,　,　,6 ],　,　,　,　
1930,　,1015.1,1653.6,113.2,　,　,13.1,17.6,9.1,32.5,-7.0,75.0,　,　,　,,　,,2208.4,　,　,　,　,　,　,　,　
1931,　,1015.0,1449.1,127.7,　,　,12.0,16.6,8.0,33.0,-7.5,74.0,　,　,　,,　,,2209.9,　,　,　,9 ],6.6,29 ],29.0,13.0
1932,　,1014.5,1622.7,91.8,　,　,12.8,17.4,8.8,34.9,-6.5,75.0,　,　,　,,　,,2118.2,　,　,　,　,6.2,14.0,23.0,12.0
1933,　,1014.5,1161.0,55.1,　,　,12.8,17.5,8.6,32.7,-8.8,74.0,　,　,　,,　,,2335.5,　,　,　,23 ],6.3,23.0,17.0,20.0
1934,　,1014.2,1182.1,69.2,　,　,11.8,16.4,7.7,33.4,-8.5,75.0,　,　,　,,　,,2300.4,　,　,　,　,6.6,24.0,27.0,13.0
1935,　,1014.3,1461.6,83.4,　,　,12.0,16.5,8.0,32.4,-5.3,76.0,　,　,　,,　,,2312.0,　,　,　,24 ],6.7,17.0,28.0,6.0
1936,　,1014.1,1485.4,97.4,　,　,11.9,16.2,8.0,34.1,-8.3,75.0,　,　,　,,　,,2369.4,　,　,　,21 ],6.7,29.0,26.0,19.0
1937,　,1014.6,1413.3,107.1,31.6 ],9.7 ],12.6,17.1,8.7,34.5,-4.8,75.0,　,　,　,,　,,2411.7,　,　,　,8 ],6.5,18.0,29.0,19.0
1938,　,1013.8,1722.8,185.6,22.8 ],6.3 ],12.5,17.0,8.6,30.2,-7.1,76.0,　,　,　,,　,,2366.6,　,　,　,　,6.4,12.0,25.0,9.0
1939,　,1014.4,1132.7,63.3,42.8 ],12.0 ],12.5,17.4,8.6,32.2,-7.7,75.0,　,　,　,,　,,2546.1,　,　,　,　,6.2,24.0,32.0,23.0
1940,　,1013.7,1039.4,63.0,32.7,14.4 ],12.2,17.1,8.1,31.5,-9.3,76.0,　,　,　,,　,,2476.6,　,　,　,10 ],6.4,21.0,28.0,22.0
1941,　,1014.3,1794.4,141.9,24.7 ],9.7 ],12.3,17.0,8.4,32.0,-5.1,77.0,　,　,　,,　,,2032.5,　,　,　,　,6.9,11.0,25.0,4.0
1942,　,1013.6,1276.5,66.1,24.2 ],10.2 ],13.0,17.9,8.6,33.9,-7.3,74.0,　,　,　,,　,,2414.2,　,　,　,27 ],6.4,17.0,13.0,16.0
1943,　,1014.8,1149.3,175.1,35.4 ],8.2 ],12.0,17.1,7.9,32.1,-6.7,75.0,　,　,　,,　,,2513.5,　,　,　,10 ],6.6,22.0,47.0,11.0
1944,　,1013.8,1393.0,146.0,26.6 ],9.1 ],11.6,16.3,7.7,34.7,-7.1,76.0,　,　,　,,　,,2138.4,　,　,　,　,6.6,25.0,48.0,10.0
1945,　,1013.8,1367.1,102.3,20.1 ],9.0 ],11.1,15.8,7.2,30.7,-8.9,76.0,　,　,　,,　,,2017.8,　,　,　,28 ],6.6,33.0,51.0,10.0
1946,　,1014.5,1196.6,64.7,29.4,11.6,12.8,17.6,8.6,33.6,-6.2,76.0,　,　,　,,　,,2151.1,　,　,　,　,6.2,26.0,40.0,11.0
1947,　,1014.1,1405.3,101.6,33.7,12.3,11.9,16.6,8.0,35.4,-6.4,74.0,　,　,　,,　,,2204.9,　,　,　,5 ],6.0,26.0,32.0,20.0
